"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","mallorca","2020-09-19",11547,"Calvià",39.51888,2.48182,"Entire apartment","Entire home/apt",2,1,1,"$89.00",5,60,13,79.9411764705882,1359
"2","mallorca","2020-09-19",100831,"Santa Margalida",39.76347,3.16255,"Entire house","Entire home/apt",8,4,7,"$175.00",7,365,30,NA,0
"3","mallorca","2020-09-19",105891,"Maria de la Salut",39.66044,3.07165,"Entire townhouse","Entire home/apt",6,3,4,"$140.00",6,365,23,140,980
"4","mallorca","2020-09-19",106833,"Sant Llorenç des Cardassar",39.616,3.30121,"Entire villa","Entire home/apt",4,2,4,"$200.00",5,365,20,200,2000
"5","mallorca","2020-09-19",130669,"Palma de Mallorca",39.56478,2.60333,"Private room in apartment","Private room",2,1,2,"$110.00",2,365,30,NA,0
"6","mallorca","2020-09-19",133709,"Palma de Mallorca",39.5633,2.62496,"Entire guesthouse","Entire home/apt",2,NA,0,"$75.00",1,1125,0,69,2070
"7","mallorca","2020-09-19",159218,"Selva",39.73689,2.89745,"Entire villa","Entire home/apt",3,1,2,"$90.00",7,365,30,NA,0
"8","mallorca","2020-09-19",160482,"Esporles",39.65414,2.62546,"Entire house","Entire home/apt",6,3,4,"$235.00",4,180,4,198.076923076923,5150
"9","mallorca","2020-09-19",164185,"Palma de Mallorca",39.57302,2.64355,"Private room in guest suite","Private room",2,1,1,"$45.00",5,365,30,NA,0
"10","mallorca","2020-09-19",164364,"Palma de Mallorca",39.55152,2.62398,"Private room in apartment","Private room",1,1,1,"$18.00",1,365,27,18,54
"11","mallorca","2020-09-19",166820,"Banyalbufar",39.67932,2.50136,"Private room in villa","Private room",2,1,1,"$50.00",1,1125,27,50,150
"12","mallorca","2020-09-19",168668,"Manacor",39.66633,3.21769,"Entire house","Entire home/apt",4,2,0,"$150.00",7,28,15,150,2250
"13","mallorca","2020-09-19",168697,"Sa Pobla",39.77096,3.02845,"Entire loft","Entire home/apt",2,1,1,"$46.00",2,1125,30,NA,0
"14","mallorca","2020-09-19",178456,"Alcúdia",39.82169,3.11569,"Entire apartment","Entire home/apt",4,2,2,"$70.00",3,325,30,NA,0
"15","mallorca","2020-09-19",193426,"Pollença",39.8973,3.07411,"Entire apartment","Entire home/apt",6,3,5,"$125.00",3,1125,27,95,285
"16","mallorca","2020-09-19",210156,"Alcúdia",39.83375,3.10918,"Entire house","Entire home/apt",6,3,4,"$69.00",5,365,23,69,483
"17","mallorca","2020-09-19",232310,"Artà",39.69117,3.35112,"Entire apartment","Entire home/apt",4,2,3,"$78.29",4,90,27,74,222
"18","mallorca","2020-09-19",233901,"Santanyí",39.30197,3.07504,"Entire cottage","Entire home/apt",6,3,4,"$180.00",3,365,30,NA,0
"19","mallorca","2020-09-19",238799,"Palma de Mallorca",39.56645,2.66102,"Entire apartment","Entire home/apt",2,1,1,"$185.00",2,365,29,185,185
"20","mallorca","2020-09-19",242962,"Palma de Mallorca",39.56487,2.62569,"Entire apartment","Entire home/apt",4,2,3,"$115.00",30,365,30,NA,0
"21","mallorca","2020-09-19",252425,"Alcúdia",39.85299,3.1142,"Private room in apartment","Private room",2,1,1,"$40.00",3,1125,28,40,80
