"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","sevilla","2020-06-29",32347,"San Vicente",37.39468,-6.00183,"Apartment","Entire home/apt",4,2,2,"$99.00",2,120,29,75,75
"2","sevilla","2020-06-29",49287,"Feria",37.39855,-5.99365,"Apartment","Entire home/apt",3,1,1,"$49.00",1,1125,24,51,306
"3","sevilla","2020-06-29",94187,"San Bartolomé",37.39012,-5.98676,"House","Private room",2,1,0,"$55.00",2,365,30,NA,0
"4","sevilla","2020-06-29",108568,"Feria",37.39939,-5.99237,"Apartment","Entire home/apt",6,2,4,"$65.00",3,365,29,60,60
"5","sevilla","2020-06-29",116703,"Arenal",37.3868,-5.99666,"Apartment","Entire home/apt",4,1,2,"$65.00",3,365,23,60.7142857142857,425
"6","sevilla","2020-06-29",117278,"Arenal",37.38595,-5.997,"Apartment","Entire home/apt",4,1,3,"$60.00",3,365,30,NA,0
"7","sevilla","2020-06-29",120619,"Santa Cruz",37.38814,-5.99399,"Apartment","Private room",2,1,2,"$35.00",1,30,30,NA,0
"8","sevilla","2020-06-29",131987,"San Vicente",37.39455,-6.00094,"Apartment","Entire home/apt",4,1,2,"$69.00",4,365,30,NA,0
"9","sevilla","2020-06-29",144918,"Triana Casco Antiguo",37.38222,-5.99989,"Apartment","Entire home/apt",4,1,2,"$46.00",2,90,29,46,46
"10","sevilla","2020-06-29",159596,"Arenal",37.38456,-5.99583,"Apartment","Entire home/apt",4,2,2,"$100.00",64,330,28,100,200
"11","sevilla","2020-06-29",179629,"Alfalfa",37.38948,-5.99238,"Apartment","Entire home/apt",5,3,4,"$115.00",3,365,15,70,1050
"12","sevilla","2020-06-29",185356,"Cruz Roja, Capuchinos",37.4011,-5.98396,"Apartment","Entire home/apt",7,3,7,"$110.00",3,365,3,110,2970
"13","sevilla","2020-06-29",201209,"Las Avenidas",37.41096,-5.98477,"Apartment","Entire home/apt",8,3,5,"$60.00",2,365,0,57.2666666666667,1718
"14","sevilla","2020-06-29",207702,"Museo",37.38945,-5.99889,"Apartment","Entire home/apt",2,1,1,"$77.00",3,30,0,55.3333333333333,1660
"15","sevilla","2020-06-29",217440,"Santa Cruz",37.3885,-5.99344,"Apartment","Private room",2,1,2,"$35.00",1,7,23,33.5714285714286,235
"16","sevilla","2020-06-29",219958,"Heliópolis",37.35385,-5.98488,"Guest suite","Entire home/apt",9,3,6,"$120.00",2,365,12,169.444444444444,3050
"17","sevilla","2020-06-29",227905,"San Vicente",37.3948,-6.00121,"Apartment","Private room",1,1,1,"$30.00",1,30,29,30,30
"18","sevilla","2020-06-29",229403,"Feria",37.39913,-5.99088,"Apartment","Entire home/apt",2,1,1,"$52.00",365,365,30,NA,0
"19","sevilla","2020-06-29",253430,"Alfalfa",37.39002,-5.99061,"Apartment","Entire home/apt",2,1,1,"$50.00",2,365,30,NA,0
"20","sevilla","2020-06-29",266016,"San Bernardo",37.38081,-5.98592,"Loft","Entire home/apt",6,2,4,"$65.00",2,365,30,NA,0
"21","sevilla","2020-06-29",272934,"Santa Cruz",37.38874,-5.99297,"Apartment","Entire home/apt",6,2,3,"$115.00",1,1125,29,75,75
"22","sevilla","2020-06-29",273981,"Alfalfa",37.39006,-5.99521,"Apartment","Entire home/apt",6,2,3,"$115.00",1,1125,29,75,75
"23","sevilla","2020-06-29",288900,"El Cerro",37.37064,-5.95717,"Apartment","Entire home/apt",2,1,1,"$45.00",2,1125,30,NA,0
"24","sevilla","2020-06-29",298673,"Encarnación, Regina",37.39362,-5.99065,"Apartment","Entire home/apt",4,1,2,"$61.00",2,14,26,40,160
"25","sevilla","2020-06-29",315971,"San Vicente",37.39493,-5.99899,"Tiny house","Private room",1,1,1,"$30.00",2,30,17,30,390
"26","sevilla","2020-06-29",321192,"an Roque",37.39236,-5.98361,"Apartment","Entire home/apt",6,2,4,"$75.00",2,365,29,59,59
"27","sevilla","2020-06-29",343997,"Santa Cruz",37.38894,-5.99274,"Apartment","Entire home/apt",3,1,1,"$65.00",3,250,26,73,292
"28","sevilla","2020-06-29",366257,"Triana Casco Antiguo",37.38657,-6.00551,"Loft","Entire home/apt",2,1,1,"$37.00",3,59,8,45.2272727272727,995
"29","sevilla","2020-06-29",369170,"Feria",37.39626,-5.99312,"Apartment","Entire home/apt",4,2,4,"$120.00",2,320,26,54.5,218
