"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"france","bordeaux","2020-07-25",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"House","Entire home/apt",12,5,13,24,2,21,0,350,10500
"france","bordeaux","2020-07-25",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"House","Entire home/apt",6,3,3,125,4,15,29,180,180
"france","bordeaux","2020-07-25",218103,"Bgles",44.81418,-0.54842,"Apartment","Entire home/apt",4,1,1,110,2,21,6,102.916666666667,2470
"france","bordeaux","2020-07-25",222887,"Bordeaux Sud",44.83611,-0.5664,"Apartment","Entire home/apt",4,2,3,145,3,90,8,163,3586
"france","bordeaux","2020-07-25",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Apartment","Entire home/apt",3,1,2,135,3,90,16,143,2002
"france","bordeaux","2020-07-25",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Apartment","Entire home/apt",6,2,4,155,3,90,5,160,4000
"france","bordeaux","2020-07-25",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Apartment","Entire home/apt",2,0,1,79,1,1125,20,75.5,755
"france","bordeaux","2020-07-25",365993,"Bgles",44.81149,-0.55825,"Apartment","Entire home/apt",6,2,3,85,5,30,7,97.5217391304348,2243
"france","bordeaux","2020-07-25",400306,"La Bastide",44.8439,-0.55831,"Condominium","Entire home/apt",2,1,1,59,2,1125,0,71.2,2136
"france","bordeaux","2020-07-25",403245,"Bordeaux Sud",44.83385,-0.57033,"Apartment","Entire home/apt",3,1,2,59,2,31,0,99,2970
"france","bordeaux","2020-07-25",408270,"Bgles",44.81412,-0.54641,"Apartment","Entire home/apt",4,1,1,90,2,21,3,90,2430
"france","bordeaux","2020-07-25",410267,"Bgles",44.81494,-0.54799,"Apartment","Entire home/apt",4,1,1,90,2,21,9,90,1890
"france","bordeaux","2020-07-25",412475,"Bgles",44.81428,-0.54875,"Apartment","Entire home/apt",4,1,1,90,2,21,3,89.2592592592593,2410
"france","bordeaux","2020-07-25",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Apartment","Private room",2,1,1,45,2,1125,6,45.3333333333333,1088
"france","bordeaux","2020-07-25",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Apartment","Private room",1,1,1,30,2,1125,7,30.2608695652174,696
"france","bordeaux","2020-07-25",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"House","Entire home/apt",5,4,4,110,2,1125,11,106.578947368421,2025
"france","bordeaux","2020-07-25",457462,"Talence",44.80935,-0.59991,"Apartment","Entire home/apt",4,2,2,75,2,21,0,75,2250
"france","bordeaux","2020-07-25",457640,"Talence",44.80907,-0.60034,"Apartment","Entire home/apt",4,2,2,80,2,30,7,98.2608695652174,2260
"france","bordeaux","2020-07-25",458580,"Bordeaux Sud",44.83424,-0.57022,"Apartment","Entire home/apt",4,1,2,35,28,300,0,35,1050
"france","bordeaux","2020-07-25",482102,"Le Bouscat",44.85446,-0.59562,"Townhouse","Entire home/apt",12,6,7,185,2,21,12,205,3690
"france","bordeaux","2020-07-25",500193,"Bordeaux Sud",44.83118,-0.5628,"Apartment","Entire home/apt",4,2,2,100,2,14,13,96.4705882352941,1640
"france","bordeaux","2020-07-25",543460,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82761,-0.59472,"Bed and breakfast","Private room",2,1,1,110,1,1125,0,115,3450
"france","bordeaux","2020-07-25",545440,"Chartrons - Grand Parc - Jardin Public",44.85657,-0.57796,"House","Entire home/apt",5,2,2,200,2,30,0,250,7500
"france","bordeaux","2020-07-25",548827,"Centre ville (Bordeaux)",44.83949,-0.57233,"Bed and breakfast","Private room",2,1,1,110,1,6,2,110,3080
"france","bordeaux","2020-07-25",557526,"Talence",44.81216,-0.59949,"Apartment","Entire home/apt",3,2,1,79,3,21,0,79,2370
"france","bordeaux","2020-07-25",558936,"Chartrons - Grand Parc - Jardin Public",44.85385,-0.57186,"Apartment","Entire home/apt",8,4,4,130,1,125,24,135,810
"france","bordeaux","2020-07-25",568013,"Bordeaux Sud",44.8337,-0.56805,"House","Entire home/apt",7,3,6,90,4,21,0,90,2700
"france","bordeaux","2020-07-25",582745,"Le Bouscat",44.86363,-0.60591,"House","Entire home/apt",8,3,5,150,2,1125,11,170,3230
"france","bordeaux","2020-07-25",599263,"Centre ville (Bordeaux)",44.83828,-0.5762,"Apartment","Entire home/apt",4,2,2,120,3,20,10,93,1860
"france","bordeaux","2020-07-25",648539,"Bordeaux Sud",44.83103,-0.56652,"Apartment","Entire home/apt",4,1,1,29,30,1125,10,29,580
"france","bordeaux","2020-07-25",656926,"Bordeaux Sud",44.83421,-0.56205,"House","Private room",2,2,2,50,2,6,30,NA,0
"france","bordeaux","2020-07-25",667763,"Centre ville (Bordeaux)",44.83703,-0.56795,"Apartment","Entire home/apt",2,1,1,99,30,300,0,99,2970
"france","bordeaux","2020-07-25",670292,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82984,-0.58893,"Apartment","Entire home/apt",2,1,1,70,3,1125,17,70,910
"france","bordeaux","2020-07-25",675853,"Bordeaux Sud",44.83266,-0.56264,"Apartment","Entire home/apt",4,3,2,100,2,30,7,100,2300
"france","bordeaux","2020-07-25",709326,"Caudran",44.83948,-0.61874,"House","Private room",2,1,1,60,2,30,0,50,1500
"france","bordeaux","2020-07-25",717608,"La Bastide",44.84173,-0.54901,"House","Entire home/apt",6,3,3,210,5,30,0,210,6300
"france","bordeaux","2020-07-25",724856,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83165,-0.59787,"House","Private room",2,1,1,45,2,1125,0,45,1350
"france","bordeaux","2020-07-25",749334,"Bordeaux Sud",44.83393,-0.56643,"Apartment","Entire home/apt",2,1,NA,25,14,30,0,25,750
"france","bordeaux","2020-07-25",752422,"Centre ville (Bordeaux)",44.84655,-0.58042,"Apartment","Entire home/apt",3,1,1,50,5,90,0,50,1500
"france","bordeaux","2020-07-25",765240,"Centre ville (Bordeaux)",44.84344,-0.57748,"Apartment","Entire home/apt",4,2,3,210,3,28,10,204,4080
"france","bordeaux","2020-07-25",776808,"Nansouty - Saint Gens",44.8256,-0.58388,"Bed and breakfast","Private room",2,1,1,80,2,15,16,83.4285714285714,1168
"france","bordeaux","2020-07-25",777417,"Nansouty - Saint Gens",44.82579,-0.58352,"Bed and breakfast","Private room",3,1,2,89,2,31,17,90.6923076923077,1179
"france","bordeaux","2020-07-25",779477,"Centre ville (Bordeaux)",44.84717,-0.58941,"Apartment","Entire home/apt",6,3,4,64,2,365,18,77.5,930
"france","bordeaux","2020-07-25",783449,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83011,-0.60038,"House","Private room",3,1,2,49,1,1125,19,59,649
"france","bordeaux","2020-07-25",793746,"Bordeaux Sud",44.82869,-0.57231,"Apartment","Entire home/apt",2,1,1,75,3,30,0,80,2400
"france","bordeaux","2020-07-25",801440,"Bordeaux Sud",44.82869,-0.57231,"Apartment","Entire home/apt",2,1,1,75,3,1125,6,80,1920
"france","bordeaux","2020-07-25",805226,"Centre ville (Bordeaux)",44.84614,-0.58054,"House","Private room",2,1,1,42,2,14,12,42,756
"france","bordeaux","2020-07-25",806933,"Bordeaux Maritime",44.86103,-0.56561,"House","Entire home/apt",7,2,4,104,2,1125,0,167.333333333333,5020
"france","bordeaux","2020-07-25",813125,"Palmer-Gravires-Cavailles",44.86135,-0.51667,"Bed and breakfast","Private room",5,3,3,58,4,30,18,58,696
"france","bordeaux","2020-07-25",823341,"Bordeaux Sud",44.83134,-0.57183,"Apartment","Entire home/apt",4,1,2,90,4,365,0,90,2700
"france","bordeaux","2020-07-25",835418,"Chartrons - Grand Parc - Jardin Public",44.85239,-0.58688,"Condominium","Entire home/apt",4,2,3,53,7,14,0,35,1050
