"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"germany","berlin","2020-08-30",1944,"Brunnenstr. Nord",52.54425,13.39749,"Private room in apartment","Private room",1,1,1,20,60,120,0,20,600
"germany","berlin","2020-08-30",3176,"Prenzlauer Berg Südwest",52.535,13.41758,"Entire apartment","Entire home/apt",4,1,2,90,62,1125,0,90,2700
"germany","berlin","2020-08-30",3309,"Schöneberg-Nord",52.49885,13.34906,"Private room in apartment","Private room",1,1,1,29,7,35,0,28.5333333333333,856
"germany","berlin","2020-08-30",7071,"Helmholtzplatz",52.54316,13.41509,"Private room in apartment","Private room",2,1,2,45,1,10,0,45,1350
"germany","berlin","2020-08-30",9991,"Prenzlauer Berg Südwest",52.53303,13.41605,"Entire apartment","Entire home/apt",7,4,7,180,6,14,0,180,5400
"germany","berlin","2020-08-30",14325,"Prenzlauer Berg Nordwest",52.54785,13.40556,"Entire apartment","Entire home/apt",1,NA,1,70,90,1125,0,70,2100
"germany","berlin","2020-08-30",16644,"nördliche Luisenstadt",52.50479,13.4351,"Entire apartment","Entire home/apt",5,1,3,90,60,365,0,90,2700
"germany","berlin","2020-08-30",17904,"Reuterstraße",52.49548,13.42182,"Entire apartment","Entire home/apt",2,NA,0,37,5,90,5,42.2,1055
"germany","berlin","2020-08-30",20858,"Prenzlauer Berg Südwest",52.53695,13.40762,"Entire loft","Entire home/apt",4,2,2,159,3,30,29,159,159
"germany","berlin","2020-08-30",21869,"nördliche Luisenstadt",52.50273,13.43462,"Entire apartment","Entire home/apt",4,1,2,70,60,365,0,70,2100
"germany","berlin","2020-08-30",22415,"südliche Luisenstadt",52.49485,13.4285,"Entire apartment","Entire home/apt",4,2,2,114,3,30,21,89.4444444444444,805
"germany","berlin","2020-08-30",22438,"Brunnenstr. Nord",52.53445,13.38837,"Entire apartment","Entire home/apt",2,2,4,65,90,365,0,65,1950
"germany","berlin","2020-08-30",22677,"Brunnenstr. Süd",52.53435,13.40558,"Entire apartment","Entire home/apt",5,1,4,170,2,24,29,170,170
"germany","berlin","2020-08-30",23834,"Tempelhofer Vorstadt",52.48971,13.37975,"Entire condominium","Entire home/apt",4,1,3,65,185,360,0,65,1950
"germany","berlin","2020-08-30",24569,"Prenzlauer Berg Südwest",52.53079,13.41808,"Entire apartment","Entire home/apt",4,2,2,135,4,21,0,134.333333333333,4030
"germany","berlin","2020-08-30",25653,"Prenzlauer Berg Süd",52.53026,13.41947,"Entire apartment","Entire home/apt",4,2,2,90,4,21,0,90,2700
"germany","berlin","2020-08-30",28156,"Prenzlauer Berg Nordwest",52.54672,13.40512,"Entire apartment","Entire home/apt",1,NA,1,70,90,1125,0,70,2100
"germany","berlin","2020-08-30",29279,"Helmholtzplatz",52.54179,13.42388,"Entire apartment","Entire home/apt",4,2,3,65,60,180,0,65,1950
"germany","berlin","2020-08-30",30295,"Helmholtzplatz",52.54597,13.42236,"Entire apartment","Entire home/apt",8,2,4,123,4,365,28,130,260
"germany","berlin","2020-08-30",31440,"Helmholtzplatz",52.54309,13.42245,"Private room in apartment","Private room",1,1,0,37,1,14,29,37,37
"germany","berlin","2020-08-30",33043,"Moabit Ost",52.52195,13.3559,"Entire apartment","Entire home/apt",4,1,2,79,3,1125,1,76.0344827586207,2205
"germany","berlin","2020-08-30",35152,"Brunnenstr. Süd",52.53506,13.39699,"Private room in loft","Private room",2,1,1,75,2,28,0,75,2250
"germany","berlin","2020-08-30",36480,"Otto-Suhr-Allee",52.51968,13.30209,"Private room in apartment","Private room",1,1,1,35,1,21,30,NA,0
"germany","berlin","2020-08-30",37052,"Brunnenstr. Süd",52.53822,13.40463,"Entire apartment","Entire home/apt",2,1,1,57,28,1125,0,57.7333333333333,1732
"germany","berlin","2020-08-30",37836,"südliche Luisenstadt",52.49847,13.44013,"Private room in apartment","Private room",3,1,1,35,2,31,27,34,102
"germany","berlin","2020-08-30",38074,"Prenzlauer Berg Süd",52.53713,13.42473,"Entire apartment","Entire home/apt",2,1,1,80,84,1125,0,81.8666666666667,2456
"germany","berlin","2020-08-30",38296,"Schillerpromenade",52.48586,13.42362,"Entire apartment","Entire home/apt",2,1,2,80,10,30,0,80,2400
"germany","berlin","2020-08-30",40600,"Tempelhofer Vorstadt",52.48844,13.4206,"Private room in loft","Private room",2,1,1,53,3,14,0,52.6666666666667,1580
"germany","berlin","2020-08-30",41217,"Prenzlauer Berg Südwest",52.53641,13.41231,"Private room in apartment","Private room",2,1,1,43,15,15,0,43,1290
"germany","berlin","2020-08-30",41306,"Prenzlauer Berg Süd",52.53028,13.42348,"Private room in apartment","Private room",2,1,1,49,1,7,0,49,1470
"germany","berlin","2020-08-30",42742,"südliche Luisenstadt",52.49667,13.44034,"Private room in apartment","Private room",3,1,1,30.43,2,31,7,32.8695652173913,756
"germany","berlin","2020-08-30",42809,"Frankfurter Allee Süd FK",52.51099,13.45642,"Entire apartment","Entire home/apt",4,2,2,97,4,365,26,114,456
"germany","berlin","2020-08-30",44083,"Alt  Treptow",52.4904,13.44085,"Private room in apartment","Private room",2,1,1,42,2,7,13,42,714
"germany","berlin","2020-08-30",44423,"Frankfurter Allee Süd FK",52.50888,13.45636,"Private room in apartment","Private room",2,1,1,56,82,100,0,56,1680
"germany","berlin","2020-08-30",47938,"Prenzlauer Berg Südwest",52.53219,13.41988,"Entire apartment","Entire home/apt",6,2,3,169,5,23,0,169,5070
"germany","berlin","2020-08-30",52570,"südliche Luisenstadt",52.50031,13.44121,"Entire apartment","Entire home/apt",4,2,2,69,1,31,30,NA,0
"germany","berlin","2020-08-30",54952,"Alexanderplatz",52.52264,13.3881,"Private room in apartment","Private room",2,1,2,40,4,30,1,40.3793103448276,1171
"germany","berlin","2020-08-30",55853,"Neue Kantstraße",52.5034,13.29203,"Entire apartment","Entire home/apt",2,1,2,58,60,365,0,57.6666666666667,1730
"germany","berlin","2020-08-30",57049,"Prenzlauer Berg Nordwest",52.54787,13.40417,"Entire apartment","Entire home/apt",4,2,3,230,3,15,28,230,460
"germany","berlin","2020-08-30",57209,"Brunnenstr. Süd",52.53683,13.39897,"Entire apartment","Entire home/apt",5,2,4,81,2,360,0,81.3333333333333,2440
"germany","berlin","2020-08-30",58780,"Prenzlauer Berg Süd",52.5342,13.42671,"Entire apartment","Entire home/apt",4,3,3,118,5,150,0,118,3540
"germany","berlin","2020-08-30",62613,"südliche Luisenstadt",52.49729,13.42297,"Entire apartment","Entire home/apt",2,1,1,85,5,21,30,NA,0
"germany","berlin","2020-08-30",63052,"Neuköllner Mitte/Zentrum",52.46892,13.43454,"Private room in apartment","Private room",3,1,1,40,22,90,29,40,40
"germany","berlin","2020-08-30",64014,"Brunnenstr. Süd",52.53907,13.4036,"Entire apartment","Entire home/apt",4,2,3,154,2,365,29,150,150
"germany","berlin","2020-08-30",64245,"Prenzlauer Berg Nordwest",52.5465,13.40633,"Private room in apartment","Private room",4,1,2,45,3,5,25,45,225
"germany","berlin","2020-08-30",64590,"südliche Luisenstadt",52.49497,13.42399,"Entire apartment","Entire home/apt",4,2,2,115.14,2,365,0,117.333333333333,3520
"germany","berlin","2020-08-30",68142,"Frankfurter Allee Nord",52.52489,13.45386,"Private room in apartment","Private room",2,1,2,40,2,30,9,29,609
"germany","berlin","2020-08-30",68448,"Prenzlauer Berg Nord",52.5498,13.41596,"Entire apartment","Entire home/apt",4,NA,2,63,2,200,0,76,2280
"germany","berlin","2020-08-30",73302,"Schöneberg-Nord",52.50105,13.35032,"Entire apartment","Entire home/apt",2,1,2,70,6,150,0,70,2100
"germany","berlin","2020-08-30",74614,"Prenzlauer Berg Südwest",52.5377,13.40854,"Entire apartment","Entire home/apt",6,3,4,165,2,360,30,NA,0
"germany","berlin","2020-08-30",80843,"Schmargendorf",52.48086,13.28998,"Entire apartment","Entire home/apt",2,1,1,67,2,210,27,90,270
"germany","berlin","2020-08-30",81049,"Regierungsviertel",52.52142,13.38983,"Entire apartment","Entire home/apt",5,2,3,110,4,28,15,140,2100
"germany","berlin","2020-08-30",81081,"Prenzlauer Berg Nord",52.54968,13.41528,"Entire apartment","Entire home/apt",2,1,1,66,3,35,3,67.2962962962963,1817
"germany","berlin","2020-08-30",82893,"Brunnenstr. Süd",52.532,13.38285,"Entire apartment","Entire home/apt",2,1,1,75,3,365,0,75,2250
"germany","berlin","2020-08-30",83183,"Prenzlauer Berg Süd",52.53677,13.42447,"Entire apartment","Entire home/apt",2,1,1,53,2,30,3,53,1431
"germany","berlin","2020-08-30",83568,"Helmholtzplatz",52.54485,13.41891,"Entire apartment","Entire home/apt",3,1,2,105,2,30,0,104.333333333333,3130
"germany","berlin","2020-08-30",83614,"Helmholtzplatz",52.54622,13.41786,"Entire apartment","Entire home/apt",5,2,4,147,1,1125,0,155.5,4665
"germany","berlin","2020-08-30",85560,"Brunnenstr. Süd",52.53182,13.3823,"Entire condominium","Entire home/apt",2,1,1,79,3,365,5,79,1975
"germany","berlin","2020-08-30",86090,"Prenzlauer Berg Nord",52.54584,13.42612,"Entire guest suite","Entire home/apt",5,1,4,108,3,365,26,116.5,466
"germany","berlin","2020-08-30",86514,"südliche Luisenstadt",52.49821,13.44178,"Entire apartment","Entire home/apt",4,2,4,76,4,14,0,76.0666666666667,2282
"germany","berlin","2020-08-30",87549,"Tempelhofer Vorstadt",52.49616,13.37397,"Private room in apartment","Private room",2,1,1,43,1,1125,26,57.25,229
"germany","berlin","2020-08-30",89102,"Prenzlauer Berg Südwest",52.54053,13.40995,"Entire apartment","Entire home/apt",4,1,2,123,4,365,0,122.666666666667,3680
"germany","berlin","2020-08-30",91290,"Reuterstraße",52.49004,13.42619,"Entire apartment","Entire home/apt",3,1,2,60,2,10,0,60,1800
"germany","berlin","2020-08-30",102882,"Tempelhofer Vorstadt",52.48878,13.42196,"Entire apartment","Entire home/apt",14,5,10,521,3,1125,0,520.4,15612
"germany","berlin","2020-08-30",106331,"Prenzlauer Berg Süd",52.5337,13.4367,"Entire apartment","Entire home/apt",3,1,2,77,60,1125,0,84.1666666666667,2525
"germany","berlin","2020-08-30",109658,"Frankfurter Allee Nord",52.52426,13.45207,"Entire condominium","Entire home/apt",2,1,1,89,4,60,30,NA,0
"germany","berlin","2020-08-30",111579,"Alexanderplatz",52.5272,13.40953,"Entire apartment","Entire home/apt",2,1,1,75,5,21,0,75,2250
"germany","berlin","2020-08-30",113298,"Kurfürstendamm",52.5035,13.3218,"Entire apartment","Entire home/apt",3,1,2,59,3,365,12,59.1666666666667,1065
"germany","berlin","2020-08-30",114763,"Schöneberg-Süd",52.48805,13.35325,"Entire apartment","Entire home/apt",6,3,6,129,3,30,13,132.647058823529,2255
"germany","berlin","2020-08-30",115576,"Blankenfelde/Niederschönhausen",52.5815,13.39786,"Entire house","Entire home/apt",4,2,2,75,2,30,8,75,1650
"germany","berlin","2020-08-30",116057,"Halensee",52.49348,13.29604,"Entire apartment","Entire home/apt",2,1,1,86,3,10,28,80,160
"germany","berlin","2020-08-30",117649,"südliche Luisenstadt",52.50004,13.44265,"Entire apartment","Entire home/apt",4,1,1,68,60,365,29,68,68
"germany","berlin","2020-08-30",127708,"Alexanderplatz",52.52536,13.40488,"Entire apartment","Entire home/apt",2,1,1,79,2,365,14,90.25,1444
"germany","berlin","2020-08-30",128827,"Frankfurter Allee Süd FK",52.50948,13.46119,"Entire apartment","Entire home/apt",3,1,1,59,5,1125,0,59,1770
"germany","berlin","2020-08-30",135097,"Schöneberg-Nord",52.50089,13.34692,"Entire apartment","Entire home/apt",5,3,5,79,1,365,27,99,297
"germany","berlin","2020-08-30",139769,"Alexanderplatz",52.52811,13.39195,"Private room in apartment","Private room",2,1,1,24,4,180,5,24.24,606
"germany","berlin","2020-08-30",143605,"Schillerpromenade",52.47678,13.42437,"Entire apartment","Entire home/apt",4,1,3,55,30,180,0,55,1650
"germany","berlin","2020-08-30",145249,"Frankfurter Allee Nord",52.51819,13.46122,"Private room in loft","Private room",3,1,2,70,3,7,0,70,2100
"germany","berlin","2020-08-30",147339,"Schöneberg-Süd",52.48174,13.35947,"Entire apartment","Entire home/apt",2,1,1,52,3,365,7,50.6521739130435,1165
"germany","berlin","2020-08-30",147564,"Reuterstraße",52.4952,13.42262,"Entire apartment","Entire home/apt",2,NA,1,29,91,1125,0,29,870
"germany","berlin","2020-08-30",147946,"Prenzlauer Berg Nordwest",52.54855,13.40852,"Entire apartment","Entire home/apt",2,1,1,31,183,1125,0,31,930
"germany","berlin","2020-08-30",147953,"Schöneberg-Süd",52.48864,13.3604,"Entire apartment","Entire home/apt",2,1,0,30,183,1125,0,30,900
"germany","berlin","2020-08-30",149849,"Alexanderplatz",52.52982,13.4026,"Private room in apartment","Private room",2,1,1,25,2,365,7,24.6521739130435,567
"germany","berlin","2020-08-30",151249,"Südliche Friedrichstadt",52.49678,13.41679,"Entire apartment","Entire home/apt",4,1,2,80,7,50,0,80,2400
"germany","berlin","2020-08-30",154433,"Reuterstraße",52.48623,13.44019,"Private room in apartment","Private room",2,2,3,45,31,365,8,45,990
"germany","berlin","2020-08-30",156010,"Alexanderplatz",52.51554,13.42447,"Entire apartment","Entire home/apt",3,1,2,36,90,365,0,36,1080
"germany","berlin","2020-08-30",157839,"Moabit West",52.53083,13.34221,"Private room in apartment","Private room",4,1,1,21,2,90,19,23.1818181818182,255
"germany","berlin","2020-08-30",159454,"Wiesbadener Straße",52.47831,13.3114,"Entire apartment","Entire home/apt",6,2,3,161,2,730,0,161,4830
"germany","berlin","2020-08-30",162111,"Rixdorf",52.47729,13.44618,"Private room in apartment","Private room",1,1,1,35,5,21,19,35,385
"germany","berlin","2020-08-30",163411,"südliche Luisenstadt",52.49738,13.43637,"Entire apartment","Entire home/apt",4,2,4,110,5,60,0,110,3300
"germany","berlin","2020-08-30",167189,"nördliche Luisenstadt",52.50189,13.43801,"Private room in condominium","Private room",2,1,1,49,2,15,0,49,1470
"germany","berlin","2020-08-30",168615,"Blankenburg/Heinersdorf/Märchenland",52.58055,13.44539,"Entire apartment","Entire home/apt",3,1,2,49,2,1125,9,49,1029
"germany","berlin","2020-08-30",169907,"Friedenau",52.46981,13.33037,"Private room in apartment","Private room",2,1,1,30,1,730,0,30,900
"germany","berlin","2020-08-30",170582,"Wiesbadener Straße",52.46747,13.31374,"Private room in apartment","Private room",1,1,1,23,6,180,1,23,667
"germany","berlin","2020-08-30",170652,"Brunnenstr. Nord",52.5453,13.39729,"Private room in apartment","Private room",2,1,1,50,5,21,27,50,150
"germany","berlin","2020-08-30",171609,"Prenzlauer Berg Südwest",52.53523,13.41945,"Private room in lighthouse","Private room",2,1,1,65,3,21,14,65,1040
"germany","berlin","2020-08-30",171746,"Helmholtzplatz",52.54411,13.4141,"Entire apartment","Entire home/apt",2,1,1,61,4,30,22,54.875,439
"germany","berlin","2020-08-30",173153,"Prenzlauer Berg Südwest",52.53055,13.40702,"Entire apartment","Entire home/apt",5,2,1,80,2,365,0,80,2400
"germany","berlin","2020-08-30",174391,"Alexanderplatz",52.52886,13.39684,"Private room in apartment","Private room",2,1,1,42,1,730,0,42,1260
"germany","berlin","2020-08-30",174547,"Alexanderplatz",52.511,13.41595,"Entire apartment","Entire home/apt",3,2,3,103,90,365,0,102.4,3072
"germany","berlin","2020-08-30",174560,"Alexanderplatz",52.51073,13.41791,"Entire apartment","Entire home/apt",3,2,3,78,60,365,0,77.4,2322
"germany","berlin","2020-08-30",174576,"Alexanderplatz",52.5094,13.41623,"Entire apartment","Entire home/apt",5,2,4,103,60,365,0,102.4,3072
