"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"germany","munich","2020-04-25",36720,"Ludwigsvorstadt-Isarvorstadt",48.13057,11.56929,"Apartment","Entire home/apt",2,1,1,95,2,730,0,95,2850
"germany","munich","2020-04-25",49309,"Ludwigsvorstadt-Isarvorstadt",48.12456,11.55567,"Apartment","Private room",2,2,2,40,14,180,30,NA,0
"germany","munich","2020-04-25",97945,"Hadern",48.11476,11.48782,"Apartment","Entire home/apt",2,1,1,80,2,90,0,80,2400
"germany","munich","2020-04-25",114695,"Berg am Laim",48.11923,11.63726,"Apartment","Entire home/apt",5,1,3,95,1,30,19,95,1045
"germany","munich","2020-04-25",127383,"Maxvorstadt",48.15198,11.56486,"Apartment","Entire home/apt",4,1,1,120,2,14,0,120,3600
"germany","munich","2020-04-25",157808,"Schwabing-West",48.16381,11.56089,"Apartment","Private room",2,1,1,35,1,36,0,35,1050
"germany","munich","2020-04-25",159634,"Pasing-Obermenzing",48.13898,11.46612,"Apartment","Entire home/apt",3,1,1,55,5,90,0,52,1560
"germany","munich","2020-04-25",170154,"Sendling-Westpark",48.10751,11.52733,"House","Private room",4,1,2,55,2,1125,16,42.1428571428571,590
"germany","munich","2020-04-25",170815,"Neuhausen-Nymphenburg",48.16132,11.54154,"Apartment","Entire home/apt",2,1,1,65,3,14,30,NA,0
"germany","munich","2020-04-25",171749,"Untergiesing-Harlaching",48.10583,11.57843,"Apartment","Private room",2,1,1,55,3,10,30,NA,0
"germany","munich","2020-04-25",172672,"Schwabing-West",48.16341,11.56366,"Apartment","Private room",2,1,1,54,1,4,29,56,56
"germany","munich","2020-04-25",172977,"Maxvorstadt",48.14816,11.55449,"Apartment","Private room",2,1,0,67,2,30,11,72.5263157894737,1378
"germany","munich","2020-04-25",178114,"Maxvorstadt",48.15341,11.57267,"Apartment","Entire home/apt",2,1,1,59,3,30,6,63.375,1521
"germany","munich","2020-04-25",179640,"Bogenhausen",48.14574,11.63908,"Condominium","Private room",1,1,1,35,2,30,29,39,39
"germany","munich","2020-04-25",183634,"Allach-Untermenzing",48.17449,11.44619,"Igloo","Shared room",16,1,0,50,1,730,30,NA,0
"germany","munich","2020-04-25",186596,"Au-Haidhausen",48.12198,11.57644,"Apartment","Shared room",5,1,3,85,1,1125,30,NA,0
"germany","munich","2020-04-25",187359,"Neuhausen-Nymphenburg",48.15849,11.54106,"Apartment","Private room",2,1,1,69,2,7,0,78,2340
"germany","munich","2020-04-25",187386,"Berg am Laim",48.12199,11.62761,"Apartment","Private room",2,1,2,59,2,7,30,NA,0
"germany","munich","2020-04-25",189551,"Schwanthalerhöhe",48.1354,11.54618,"Apartment","Entire home/apt",6,2,4,120,3,365,28,120,240
