"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","bologna","2020-07-20",42196,"Santo Stefano",44.48507,11.34786,"Apartment","Entire home/apt",2,NA,NA,68,3,360,20,68,680
"italy","bologna","2020-07-20",46352,"Porto - Saragozza",44.49168,11.33514,"Apartment","Private room",3,NA,NA,29.3989071038251,NA,NA,28,29.3989071038251,58
"italy","bologna","2020-07-20",59697,"Santo Stefano",44.48817,11.34124,"Apartment","Entire home/apt",6,NA,NA,70,1,120,19,70,770
"italy","bologna","2020-07-20",70366,"Porto - Saragozza",44.49699,11.32206,"House","Entire home/apt",2,NA,NA,63,1,730,1,63,1827
"italy","bologna","2020-07-20",72628,"Porto - Saragozza",44.49088,11.3384,"Apartment","Entire home/apt",4,NA,NA,61.627397260274,1,150,10,61.627397260274,1032
"italy","bologna","2020-07-20",85368,"Santo Stefano",44.47834,11.35672,"Apartment","Entire home/apt",5,NA,NA,130,2,1125,0,130,3900
"italy","bologna","2020-07-20",130642,"Savena",44.46817,11.39,"Apartment","Private room",2,NA,NA,45,2,30,30,NA,0
"italy","bologna","2020-07-20",145779,"Porto - Saragozza",44.49306,11.33786,"Apartment","Private room",1,NA,NA,36.8575342465753,3,365,30,NA,0
"italy","bologna","2020-07-20",168963,"Navile",44.5209,11.31697,"Apartment","Entire home/apt",2,NA,NA,36.4246575342466,3,1125,29,36.4246575342466,35
"italy","bologna","2020-07-20",184665,"Santo Stefano",44.50189,11.35031,"Apartment","Private room",5,NA,NA,32,1,365,30,NA,0
"italy","bologna","2020-07-20",204553,"Porto - Saragozza",44.49105,11.33982,"Apartment","Private room",1,NA,NA,48,2,15,18,48,576
"italy","bologna","2020-07-20",207245,"Porto - Saragozza",44.49254,11.34009,"Apartment","Entire home/apt",6,NA,NA,113.945205479452,3,60,26,113.945205479452,520
"italy","bologna","2020-07-20",209692,"Navile",44.51628,11.33074,"Apartment","Private room",1,NA,NA,25,1,90,0,25,750
"italy","bologna","2020-07-20",214615,"Santo Stefano",44.50172,11.35047,"Apartment","Private room",5,NA,NA,32,NA,NA,30,NA,0
"italy","bologna","2020-07-20",219878,"Santo Stefano",44.48787,11.35392,"Apartment","Entire home/apt",2,NA,NA,85,7,150,27,85,255
"italy","bologna","2020-07-20",229114,"Navile",44.51072,11.34957,"Apartment","Entire home/apt",4,NA,NA,64,3,30,13,64,1088
"italy","bologna","2020-07-20",233922,"Porto - Saragozza",44.49589,11.32976,"Apartment","Entire home/apt",5,NA,NA,80,4,60,14,80,1280
"italy","bologna","2020-07-20",245295,"Porto - Saragozza",44.4868,11.31471,"House","Entire home/apt",3,NA,NA,78.558904109589,3,1125,29,78.558904109589,74
"italy","bologna","2020-07-20",246747,"Porto - Saragozza",44.49702,11.34291,"Apartment","Private room",2,NA,NA,68.4383561643836,2,15,29,68.4383561643836,68
"italy","bologna","2020-07-20",252657,"Santo Stefano",44.50035,11.35147,"Condominium","Private room",3,NA,NA,32,1,365,29,32,32
"italy","bologna","2020-07-20",253252,"Santo Stefano",44.50164,11.35185,"Apartment","Private room",1,NA,NA,32,1,760,29,32,32
"italy","bologna","2020-07-20",266777,"Porto - Saragozza",44.49487,11.33241,"Apartment","Entire home/apt",4,NA,NA,75.1123287671233,3,1125,29,75.1123287671233,75
"italy","bologna","2020-07-20",273713,"Porto - Saragozza",44.49517,11.33964,"Apartment","Private room",2,NA,NA,60,2,4,28,60,120
"italy","bologna","2020-07-20",286691,"Santo Stefano",44.47361,11.36977,"Condominium","Private room",1,NA,NA,55.6986301369863,1,365,30,NA,0
"italy","bologna","2020-07-20",293536,"Santo Stefano",44.49439,11.35371,"Apartment","Entire home/apt",5,NA,NA,130,7,120,30,NA,0
"italy","bologna","2020-07-20",306910,"Santo Stefano",44.49555,11.3443,"Apartment","Entire home/apt",4,NA,NA,85.4493150684931,3,180,13,85.4493150684931,1360
"italy","bologna","2020-07-20",359045,"Santo Stefano",44.49512,11.35045,"Apartment","Entire home/apt",3,NA,NA,55,7,1125,30,NA,0
"italy","bologna","2020-07-20",359082,"Santo Stefano",44.49687,11.35013,"Apartment","Private room",1,NA,NA,55,7,1125,11,55,1045
"italy","bologna","2020-07-20",372605,"Santo Stefano",44.47733,11.34821,"Tiny house","Entire home/apt",3,NA,NA,55.0109589041096,2,90,0,55.0109589041096,1650
"italy","bologna","2020-07-20",373095,"Porto - Saragozza",44.49745,11.33025,"Apartment","Entire home/apt",4,NA,NA,69,2,1125,4,69,1794
"italy","bologna","2020-07-20",374090,"Porto - Saragozza",44.49548,11.33022,"Apartment","Entire home/apt",4,NA,NA,209.178082191781,2,1125,30,NA,0
"italy","bologna","2020-07-20",374610,"Santo Stefano",44.49128,11.35617,"Apartment","Entire home/apt",2,NA,NA,66.8109589041096,2,90,28,66.8109589041096,68
"italy","bologna","2020-07-20",376826,"Porto - Saragozza",44.49564,11.33601,"Entire apartment","Entire home/apt",4,NA,NA,90,2,365,29,90,90
"italy","bologna","2020-07-20",383256,"Porto - Saragozza",44.50103,11.34218,"Loft","Entire home/apt",5,NA,NA,92.3095890410959,2,90,0,92.3095890410959,2282
"italy","bologna","2020-07-20",411523,"Santo Stefano",44.4931,11.35442,"Apartment","Entire home/apt",2,NA,NA,70,2,1125,30,NA,0
"italy","bologna","2020-07-20",434796,"San Donato - San Vitale",44.52134,11.38173,"House","Private room",1,NA,NA,100,2,1125,30,NA,0
"italy","bologna","2020-07-20",442819,"Porto - Saragozza",44.49614,11.31751,"Apartment","Private room",2,NA,NA,34,1,7,29,34,34
"italy","bologna","2020-07-20",496906,"Porto - Saragozza",44.49032,11.33749,"Apartment","Entire home/apt",2,NA,NA,73.4520547945205,2,1125,29,73.4520547945205,45
"italy","bologna","2020-07-20",510771,"Borgo Panigale - Reno",44.49596,11.2911,"Condominium","Private room",2,NA,NA,100,1,7,0,100,3000
"italy","bologna","2020-07-20",524880,"Santo Stefano",44.48855,11.35387,"Apartment","Entire home/apt",2,NA,NA,49,NA,NA,29,49,49
"italy","bologna","2020-07-20",531700,"Santo Stefano",44.49441,11.34964,"Apartment","Entire home/apt",4,NA,NA,65.4465753424657,2,60,0,65.4465753424657,1200
"italy","bologna","2020-07-20",556818,"Santo Stefano",44.49723,11.34701,"Apartment","Entire home/apt",2,NA,NA,120,2,8,29,120,120
