"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","florence","2020-06-19",24469,"Centro Storico",43.78308,11.24418,"Apartment","Entire home/apt",4,1,1,80,2,365,29,70,70
"italy","florence","2020-06-19",24470,"Centro Storico",43.78287,11.24431,"Apartment","Entire home/apt",3,1,1,75,2,365,29,70,70
"italy","florence","2020-06-19",24471,"Centro Storico",43.78292,11.2446,"Apartment","Entire home/apt",6,2,2,135,2,365,28,135,270
"italy","florence","2020-06-19",24472,"Centro Storico",43.7815,11.24507,"Apartment","Entire home/apt",6,2,2,120,2,365,29,120,120
"italy","florence","2020-06-19",24807,"Campo di Marte",43.77813,11.29202,"Apartment","Entire home/apt",6,3,5,51,2,365,25,68,340
"italy","florence","2020-06-19",29982,"Centro Storico",43.77348,11.2545,"Apartment","Entire home/apt",5,2,5,200,7,180,29,150,150
"italy","florence","2020-06-19",31840,"Centro Storico",43.77709,11.25216,"Serviced apartment","Private room",2,1,1,70,1,99,29,39,39
"italy","florence","2020-06-19",32120,"Gavinana Galluzzo",43.76352,11.27726,"Apartment","Entire home/apt",2,1,1,75,1,5,18,75,900
"italy","florence","2020-06-19",32180,"Centro Storico",43.76964,11.2436,"Apartment","Entire home/apt",4,2,4,89,3,60,28,89,178
"italy","florence","2020-06-19",32395,"Centro Storico",43.76158,11.24188,"Bed and breakfast","Hotel room",2,1,1,80,1,1125,30,NA,0
"italy","florence","2020-06-19",39115,"Centro Storico",43.77525,11.25258,"House","Private room",2,1,2,65,2,365,30,NA,0
"italy","florence","2020-06-19",39165,"Centro Storico",43.77525,11.25258,"House","Private room",2,1,2,85,2,365,30,NA,0
"italy","florence","2020-06-19",39821,"Centro Storico",43.76853,11.24395,"Apartment","Entire home/apt",3,0,1,63,3,365,19,64.6363636363636,711
"italy","florence","2020-06-19",39822,"Centro Storico",43.76865,11.24426,"Apartment","Entire home/apt",4,2,2,75,4,1124,23,60,420
"italy","florence","2020-06-19",42997,"Centro Storico",43.76944,11.26331,"Apartment","Entire home/apt",2,1,1,113,3,1125,29,127,127
