"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","rome","2020-08-26",2737,"VIII Appia Antica",41.87218,12.48355,"Private room","Private room",1,1,1,21,60,90,30,NA,0
"italy","rome","2020-08-26",2903,"I Centro Storico",41.88826,12.47002,"Private room in bed and breakfast","Private room",4,1,2,47,1,730,30,NA,0
"italy","rome","2020-08-26",3079,"I Centro Storico",41.89503,12.49163,"Entire apartment","Entire home/apt",4,1,4,105,2,120,30,NA,0
"italy","rome","2020-08-26",11834,"I Centro Storico",41.89574,12.49058,"Entire apartment","Entire home/apt",2,1,1,90,2,29,10,90,1800
"italy","rome","2020-08-26",12398,"II Parioli/Nomentano",41.92584,12.46809,"Entire apartment","Entire home/apt",5,2,3,53,3,90,9,53.3333333333333,1120
"italy","rome","2020-08-26",14181,"I Centro Storico",41.91485,12.45321,"Private room in apartment","Private room",1,1,1,28,7,120,28,29,58
"italy","rome","2020-08-26",15409,"XIII Aurelia",41.89538,12.45022,"Entire apartment","Entire home/apt",10,2,16,100,2,730,30,NA,0
"italy","rome","2020-08-26",16276,"I Centro Storico",41.88919,12.47107,"Private room in bed and breakfast","Private room",3,1,2,47,1,730,30,NA,0
"italy","rome","2020-08-26",19965,"I Centro Storico",41.90722,12.45199,"Entire apartment","Entire home/apt",6,2,4,68,3,365,0,98.4,2952
"italy","rome","2020-08-26",19967,"I Centro Storico",41.90729,12.45408,"Entire apartment","Entire home/apt",6,2,3,70,3,365,0,98.4,2952
"italy","rome","2020-08-26",20534,"I Centro Storico",41.88992,12.46823,"Entire apartment","Entire home/apt",3,1,2,94,3,365,30,NA,0
"italy","rome","2020-08-26",20587,"I Centro Storico",41.88992,12.46823,"Entire apartment","Entire home/apt",5,2,4,136,3,365,27,143.333333333333,430
"italy","rome","2020-08-26",20606,"XIII Aurelia",41.89689,12.45695,"Entire apartment","Entire home/apt",7,3,5,116,3,90,30,NA,0
"italy","rome","2020-08-26",20699,"I Centro Storico",41.89291,12.50531,"Private room in guesthouse","Private room",2,1,0,48,1,365,23,50.8571428571429,356
"italy","rome","2020-08-26",21193,"I Centro Storico",41.91029,12.44703,"Private room in bed and breakfast","Private room",2,1,1,70,2,730,30,NA,0
"italy","rome","2020-08-26",21249,"VII San Giovanni/Cinecittà",41.86272,12.54795,"Private room in bed and breakfast","Private room",3,1,1,45,3,1125,29,45,45
"italy","rome","2020-08-26",22335,"I Centro Storico",41.90028,12.46706,"Entire apartment","Entire home/apt",6,1,2,41,1,29,10,43.2,864
"italy","rome","2020-08-26",22573,"V Prenestino/Centocelle",41.89078,12.52634,"Entire loft","Entire home/apt",4,1,2,70,28,1125,27,70,210
"italy","rome","2020-08-26",22930,"I Centro Storico",41.88992,12.46823,"Entire apartment","Entire home/apt",2,1,1,106,3,365,19,118.181818181818,1300
"italy","rome","2020-08-26",22931,"I Centro Storico",41.89998,12.46668,"Entire apartment","Entire home/apt",5,2,4,154,3,365,0,174,5220
"italy","rome","2020-08-26",24557,"XIV Monte Mario",41.91114,12.41477,"Entire apartment","Entire home/apt",2,1,1,73,2,365,29,73,73
"italy","rome","2020-08-26",25875,"XIII Aurelia",41.89689,12.45695,"Entire apartment","Entire home/apt",7,2,4,645,4,90,0,526.666666666667,15800
"italy","rome","2020-08-26",26957,"I Centro Storico",41.88788,12.47151,"Private room in bed and breakfast","Private room",2,1,1,47,1,1125,30,NA,0
"italy","rome","2020-08-26",27732,"I Centro Storico",41.91498,12.45325,"Private room in apartment","Private room",2,1,2,93,2,60,30,NA,0
"italy","rome","2020-08-26",27816,"I Centro Storico",41.89603,12.47174,"Entire loft","Entire home/apt",2,1,1,62,2,90,30,NA,0
"italy","rome","2020-08-26",28929,"I Centro Storico",41.88331,12.46576,"Entire apartment","Entire home/apt",7,3,3,107,3,1125,30,NA,0
"italy","rome","2020-08-26",29606,"XII Monte Verde",41.87855,12.45142,"Entire condominium","Entire home/apt",7,2,6,72,1,1125,28,72,144
"italy","rome","2020-08-26",29902,"IX Eur",41.78628,12.53519,"Entire villa","Entire home/apt",7,2,4,90,4,730,29,90,90
"italy","rome","2020-08-26",30207,"II Parioli/Nomentano",41.92713,12.51633,"Entire apartment","Entire home/apt",4,1,4,50,5,365,26,50,200
"italy","rome","2020-08-26",31016,"I Centro Storico",41.8935,12.50391,"Entire apartment","Entire home/apt",5,1,2,95,3,29,26,95,380
"italy","rome","2020-08-26",31058,"I Centro Storico",41.90706,12.50129,"Private room in guest suite","Private room",2,1,1,69,2,30,25,74,370
"italy","rome","2020-08-26",31102,"V Prenestino/Centocelle",41.87675,12.54166,"Private room in condominium","Private room",1,1,1,14,3,120,1,14,406
"italy","rome","2020-08-26",31430,"II Parioli/Nomentano",41.93152,12.51622,"Private room in apartment","Private room",2,1,1,41,2,60,0,46.3333333333333,1390
