"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","malaga","2020-06-30",96033,"Este",36.72031,-4.35627,"Apartment","Entire home/apt",3,2,2,"$49.00",3,1125,3,43,1161
"2","malaga","2020-06-30",131725,"Carretera de Cadiz",36.70658,-4.43705,"Apartment","Entire home/apt",3,2,3,"$37.00",4,180,0,49.9,1497
"3","malaga","2020-06-30",155696,"Centro",36.72723,-4.4072,"Condominium","Entire home/apt",5,3,5,"$180.00",3,365,22,180,1440
"4","malaga","2020-06-30",159650,"Ciudad Jardin",36.74604,-4.41747,"Apartment","Entire home/apt",6,3,6,"$60.00",7,30,14,60,960
"5","malaga","2020-06-30",166473,"Este",36.71934,-4.35942,"Apartment","Private room",3,1,0,"$19.00",5,365,0,19,570
"6","malaga","2020-06-30",212845,"Este",36.72606,-4.36541,"Apartment","Shared room",2,1,2,"$35.00",2,90,20,39.5,395
"7","malaga","2020-06-30",229511,"Este",36.79087,-4.38198,"House","Entire home/apt",12,4,10,"$200.00",5,365,21,200,1800
"8","malaga","2020-06-30",340024,"Centro",36.72813,-4.41422,"Apartment","Entire home/apt",2,1,2,"$47.00",3,90,16,55,770
"9","malaga","2020-06-30",358541,"Centro",36.72338,-4.42208,"Apartment","Entire home/apt",2,1,1,"$44.00",2,366,11,47.1052631578947,895
"10","malaga","2020-06-30",412798,"Teatinos-Universidad",36.72369,-4.46125,"Apartment","Entire home/apt",7,4,0,"$115.00",5,1124,13,82,1394
"11","malaga","2020-06-30",421077,"Centro",36.72117,-4.42526,"Apartment","Entire home/apt",2,1,1,"$48.00",1,1125,30,NA,0
"12","malaga","2020-06-30",422922,"Centro",36.72283,-4.42571,"Apartment","Entire home/apt",4,2,2,"$40.00",1,365,24,58.6666666666667,352
"13","malaga","2020-06-30",427860,"Centro",36.73232,-4.4153,"House","Private room",4,2,4,"$120.00",2,1125,29,120,120
"14","malaga","2020-06-30",461508,"Centro",36.72292,-4.42331,"Apartment","Entire home/apt",4,1,3,"$55.00",2,1125,30,NA,0
"15","malaga","2020-06-30",505688,"Centro",36.72526,-4.41821,"Loft","Entire home/apt",4,2,2,"$65.00",3,1125,30,NA,0
"16","malaga","2020-06-30",507961,"Centro",36.72433,-4.41834,"Loft","Entire home/apt",2,1,1,"$60.00",3,1125,30,NA,0
"17","malaga","2020-06-30",508787,"Centro",36.7248,-4.41913,"Loft","Entire home/apt",2,1,1,"$50.00",3,1125,30,NA,0
"18","malaga","2020-06-30",509073,"Centro",36.7248,-4.41913,"Loft","Entire home/apt",2,1,1,"$50.00",3,1125,30,NA,0
"19","malaga","2020-06-30",550804,"Centro",36.71643,-4.41103,"Apartment","Entire home/apt",2,0,0,"$300.00",5,1125,20,300,3000
"20","malaga","2020-06-30",551603,"Carretera de Cadiz",36.69488,-4.44054,"Apartment","Entire home/apt",9,4,6,"$140.00",4,90,22,228.75,1830
"21","malaga","2020-06-30",577612,"Centro",36.72146,-4.42335,"Loft","Entire home/apt",6,3,3,"$150.00",1,1124,24,147.5,885
"22","malaga","2020-06-30",592667,"Bailen-Miraflores",36.72205,-4.4409,"Apartment","Entire home/apt",6,4,4,"$85.00",150,365,0,85,2550
"23","malaga","2020-06-30",603361,"Centro",36.72851,-4.41452,"Apartment","Private room",2,1,2,"$38.00",2,27,0,49.8,1494
"24","malaga","2020-06-30",611037,"Centro",36.7298,-4.42092,"Apartment","Entire home/apt",2,1,1,"$75.00",2,1125,15,79,1185
"25","malaga","2020-06-30",633862,"Bailen-Miraflores",36.72973,-4.43524,"Apartment","Entire home/apt",2,1,0,"$45.00",2,1125,10,59.2,1184
"26","malaga","2020-06-30",634046,"Este",36.7178,-4.34829,"Condominium","Entire home/apt",5,3,4,"$70.00",3,1125,17,79.2307692307692,1030
"27","malaga","2020-06-30",652994,"Centro",36.72682,-4.41916,"Apartment","Entire home/apt",2,1,2,"$52.00",3,1125,11,56.3157894736842,1070
