"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","france","bordeaux","2020-08-29",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"Entire house","Entire home/apt",12,5,13,"$350.00",2,21,0,350,10500
"2","france","bordeaux","2020-08-29",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"Entire house","Entire home/apt",6,3,3,"$139.00",4,15,1,126.724137931034,3675
"3","france","bordeaux","2020-08-29",218103,"Bgles",44.81418,-0.54842,"Entire apartment","Entire home/apt",4,1,0,"$110.00",2,21,22,107.5,860
"4","france","bordeaux","2020-08-29",222887,"Bordeaux Sud",44.83611,-0.5664,"Entire apartment","Entire home/apt",4,2,3,"$159.00",3,90,7,174,4002
"5","france","bordeaux","2020-08-29",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Entire apartment","Entire home/apt",3,1,2,"$116.00",3,90,29,116,116
"6","france","bordeaux","2020-08-29",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Entire apartment","Entire home/apt",6,2,4,"$174.00",3,90,13,174,2958
"7","france","bordeaux","2020-08-29",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Entire apartment","Entire home/apt",2,NA,1,"$79.00",1,1125,29,79,79
"8","france","bordeaux","2020-08-29",333592,"Centre ville (Bordeaux)",44.84701,-0.58249,"Entire apartment","Entire home/apt",2,1,1,"$90.00",2,31,18,96.6666666666667,1160
"9","france","bordeaux","2020-08-29",365993,"Bgles",44.81149,-0.55825,"Entire apartment","Entire home/apt",6,2,3,"$85.00",5,30,0,85,2550
"10","france","bordeaux","2020-08-29",400306,"La Bastide",44.8439,-0.55831,"Entire condominium","Entire home/apt",2,1,1,"$61.00",2,1125,0,65.2333333333333,1957
"11","france","bordeaux","2020-08-29",403245,"Bordeaux Sud",44.83385,-0.57033,"Entire apartment","Entire home/apt",3,1,2,"$70.00",2,31,0,61.6666666666667,1850
"12","france","bordeaux","2020-08-29",408270,"Bgles",44.81412,-0.54641,"Entire apartment","Entire home/apt",4,1,1,"$90.00",2,21,17,90,1170
"13","france","bordeaux","2020-08-29",410267,"Bgles",44.81494,-0.54799,"Entire apartment","Entire home/apt",4,1,1,"$90.00",2,21,16,90,1260
"14","france","bordeaux","2020-08-29",412475,"Bgles",44.81428,-0.54875,"Entire apartment","Entire home/apt",4,1,1,"$90.00",2,21,19,90,990
"15","france","bordeaux","2020-08-29",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Private room in apartment","Private room",2,1,1,"$46.00",2,1125,10,45.6,912
"16","france","bordeaux","2020-08-29",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Private room in apartment","Private room",1,1,1,"$31.00",2,1125,10,30.6,612
"17","france","bordeaux","2020-08-29",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"Entire house","Entire home/apt",5,4,4,"$110.00",2,1125,17,110,1430
"18","france","bordeaux","2020-08-29",457462,"Talence",44.80935,-0.59991,"Entire apartment","Entire home/apt",4,2,2,"$75.00",2,21,0,75,2250
"19","france","bordeaux","2020-08-29",457640,"Talence",44.80907,-0.60034,"Entire apartment","Entire home/apt",4,2,2,"$86.00",2,30,0,81.3333333333333,2440
"20","france","bordeaux","2020-08-29",458580,"Bordeaux Sud",44.83424,-0.57022,"Entire apartment","Entire home/apt",4,1,2,"$35.00",28,300,0,35,1050
"21","france","bordeaux","2020-08-29",482102,"Le Bouscat",44.85446,-0.59562,"Entire townhouse","Entire home/apt",12,6,7,"$185.00",2,21,16,185,2590
"22","france","bordeaux","2020-08-29",500193,"Bordeaux Sud",44.83118,-0.5628,"Entire apartment","Entire home/apt",4,2,2,"$100.00",1,14,15,100,1500
"23","france","bordeaux","2020-08-29",543460,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82761,-0.59472,"Private room in bed and breakfast","Private room",2,1,1,"$115.00",1,1125,0,115,3450
"24","france","bordeaux","2020-08-29",545440,"Chartrons - Grand Parc - Jardin Public",44.85657,-0.57796,"Entire house","Entire home/apt",5,2,2,"$236.00",2,30,0,231.333333333333,6940
"25","france","bordeaux","2020-08-29",548827,"Centre ville (Bordeaux)",44.83949,-0.57233,"Private room in bed and breakfast","Private room",2,1,1,"$110.00",1,6,22,110,880
"26","france","bordeaux","2020-08-29",557526,"Talence",44.81216,-0.59949,"Entire apartment","Entire home/apt",3,2,1,"$79.00",3,21,0,79,2370
"27","france","bordeaux","2020-08-29",568013,"Bordeaux Sud",44.8337,-0.56805,"Entire house","Entire home/apt",7,3,6,"$90.00",4,21,0,90,2700
"28","france","bordeaux","2020-08-29",582745,"Le Bouscat",44.86363,-0.60591,"Entire house","Entire home/apt",8,3,5,"$177.00",2,1125,0,179.333333333333,5380
"29","france","bordeaux","2020-08-29",599263,"Centre ville (Bordeaux)",44.83828,-0.5762,"Entire apartment","Entire home/apt",4,2,2,"$99.29",3,20,24,103.333333333333,620
"30","france","bordeaux","2020-08-29",648539,"Bordeaux Sud",44.83103,-0.56652,"Entire apartment","Entire home/apt",4,1,1,"$29.00",30,1125,0,29,870
"31","france","bordeaux","2020-08-29",656926,"Bordeaux Sud",44.83421,-0.56205,"Private room in house","Private room",2,2,2,"$54.00",2,6,0,51,1530
"32","france","bordeaux","2020-08-29",667763,"Centre ville (Bordeaux)",44.83703,-0.56795,"Entire apartment","Entire home/apt",2,1,1,"$101.00",27,300,3,101,2727
"33","france","bordeaux","2020-08-29",670292,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82984,-0.58893,"Entire apartment","Entire home/apt",2,1,1,"$70.00",3,1125,1,70,2030
"34","france","bordeaux","2020-08-29",675853,"Bordeaux Sud",44.83266,-0.56264,"Entire apartment","Entire home/apt",4,3,2,"$100.00",2,30,0,100,3000
"35","france","bordeaux","2020-08-29",709326,"Caudran",44.83948,-0.61874,"Private room in house","Private room",2,1,1,"$50.00",2,30,0,50,1500
"36","france","bordeaux","2020-08-29",717608,"La Bastide",44.84173,-0.54901,"Entire house","Entire home/apt",6,3,3,"$210.00",5,30,0,210,6300
"37","france","bordeaux","2020-08-29",724856,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83165,-0.59787,"Private room in house","Private room",2,1,1,"$47.00",2,1125,10,46.95,939
"38","france","bordeaux","2020-08-29",749334,"Bordeaux Sud",44.83393,-0.56643,"Entire apartment","Entire home/apt",2,1,NA,"$25.00",14,30,0,25,750
"39","france","bordeaux","2020-08-29",752422,"Centre ville (Bordeaux)",44.84655,-0.58042,"Entire apartment","Entire home/apt",3,1,1,"$50.00",5,90,0,50,1500
"40","france","bordeaux","2020-08-29",765240,"Centre ville (Bordeaux)",44.84344,-0.57748,"Entire apartment","Entire home/apt",4,2,3,"$210.00",3,28,29,210,210
"41","france","bordeaux","2020-08-29",776808,"Nansouty - Saint Gens",44.8256,-0.58388,"Private room in bed and breakfast","Private room",2,1,1,"$121.00",2,15,23,121.428571428571,850
"42","france","bordeaux","2020-08-29",777417,"Nansouty - Saint Gens",44.82579,-0.58352,"Private room in bed and breakfast","Private room",3,1,2,"$123.00",2,31,17,121.538461538462,1580
"43","france","bordeaux","2020-08-29",779477,"Centre ville (Bordeaux)",44.84717,-0.58941,"Entire apartment","Entire home/apt",6,3,4,"$67.00",2,365,23,69.7142857142857,488
"44","france","bordeaux","2020-08-29",783449,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83011,-0.60038,"Private room in house","Private room",3,1,2,"$59.00",1,1125,20,59,590
"45","france","bordeaux","2020-08-29",793746,"Bordeaux Sud",44.82869,-0.57231,"Entire apartment","Entire home/apt",2,1,1,"$80.00",3,30,23,80,560
"46","france","bordeaux","2020-08-29",801440,"Bordeaux Sud",44.82869,-0.57231,"Entire apartment","Entire home/apt",2,1,1,"$80.00",3,1125,21,80,720
"47","france","bordeaux","2020-08-29",805226,"Centre ville (Bordeaux)",44.84614,-0.58054,"Private room in house","Private room",2,1,1,"$42.00",2,14,13,42,714
"48","france","bordeaux","2020-08-29",806933,"Bordeaux Maritime",44.86103,-0.56561,"Entire house","Entire home/apt",7,2,4,"$144.00",2,1125,10,143,2860
"49","france","bordeaux","2020-08-29",813125,"Palmer-Gravires-Cavailles",44.86145,-0.51729,"Private room in bed and breakfast","Private room",2,1,1,"$64.00",4,30,4,64,1664
"50","france","bordeaux","2020-08-29",823341,"Bordeaux Sud",44.83134,-0.57183,"Entire apartment","Entire home/apt",4,1,2,"$90.00",4,365,0,90,2700
"51","france","bordeaux","2020-08-29",835418,"Chartrons - Grand Parc - Jardin Public",44.85239,-0.58688,"Entire condominium","Entire home/apt",4,2,3,"$35.00",7,14,0,35,1050
"52","france","bordeaux","2020-08-29",837713,"Carbon-Blanc",44.90228,-0.50126,"Private room in house","Private room",2,1,1,"$30.00",5,365,4,30,780
"53","france","bordeaux","2020-08-29",845807,"Chartrons - Grand Parc - Jardin Public",44.85261,-0.57731,"Entire apartment","Entire home/apt",2,1,1,"$90.00",1,90,0,100,3000
"54","france","bordeaux","2020-08-29",845815,"Chartrons - Grand Parc - Jardin Public",44.85066,-0.57588,"Entire apartment","Entire home/apt",2,1,1,"$92.00",1,90,10,100,2000
"55","france","bordeaux","2020-08-29",856891,"Caudran",44.85952,-0.61226,"Entire house","Entire home/apt",10,5,6,"$332.00",2,30,16,334.714285714286,4686
"56","france","bordeaux","2020-08-29",858946,"Centre ville (Bordeaux)",44.84204,-0.573,"Entire apartment","Entire home/apt",4,1,2,"$60.00",30,180,1,60,1740
"57","france","bordeaux","2020-08-29",865244,"La Glacire",44.82859,-0.61801,"Entire bungalow","Entire home/apt",2,1,1,"$75.00",2,21,15,75,1125
"58","france","bordeaux","2020-08-29",867488,"Bordeaux Sud",44.83305,-0.57509,"Entire apartment","Entire home/apt",8,3,6,"$220.00",2,90,21,220,1980
"59","france","bordeaux","2020-08-29",872870,"Bordeaux Sud",44.83305,-0.57509,"Entire apartment","Entire home/apt",8,4,8,"$180.00",2,90,17,180,2340
"60","france","bordeaux","2020-08-29",872948,"Bordeaux Sud",44.83305,-0.57509,"Entire apartment","Entire home/apt",4,2,3,"$60.00",2,90,2,60,1680
"61","france","bordeaux","2020-08-29",872979,"Bordeaux Sud",44.83305,-0.57509,"Entire apartment","Entire home/apt",2,1,1,"$32.00",2,90,4,30.6923076923077,798
"62","france","bordeaux","2020-08-29",878032,"France Alouette",44.78298,-0.68522,"Private room in bed and breakfast","Private room",3,2,2,"$135.00",1,7,27,135,405
"63","france","bordeaux","2020-08-29",878623,"Caudran",44.85643,-0.60508,"Entire townhouse","Entire home/apt",10,3,5,"$204.00",2,2,30,NA,0
"64","france","bordeaux","2020-08-29",880024,"Bordeaux Sud",44.83305,-0.57509,"Entire apartment","Entire home/apt",16,10,21,"$480.00",2,90,4,480,12480
"65","france","bordeaux","2020-08-29",880178,"Gradignan",44.75465,-0.62296,"Entire guesthouse","Entire home/apt",2,1,1,"$35.00",3,21,0,35,1050
"66","france","bordeaux","2020-08-29",881775,"Gradignan",44.75465,-0.62296,"Entire villa","Entire home/apt",12,5,12,"$490.00",2,21,0,490,14700
"67","france","bordeaux","2020-08-29",881940,"Gradignan",44.75388,-0.6228,"Entire cottage","Entire home/apt",12,5,16,"$380.00",2,90,7,380,8740
"68","france","bordeaux","2020-08-29",888556,"Caudran",44.84738,-0.60446,"Private room in house","Private room",2,1,1,"$70.00",3,1125,26,70,280
"69","france","bordeaux","2020-08-29",913857,"Ambars-et-Lagrave",44.92077,-0.5036,"Private room in apartment","Private room",2,1,1,"$25.00",1,1125,25,25,125
"70","france","bordeaux","2020-08-29",920432,"Nansouty - Saint Gens",44.81729,-0.56617,"Entire apartment","Entire home/apt",2,NA,1,"$48.00",365,365,30,NA,0
"71","france","bordeaux","2020-08-29",921237,"Talence",44.82142,-0.59232,"Private room in house","Private room",1,1,1,"$30.00",3,1125,0,30,900
