"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"france","lyon","2020-07-25",56766,"5e Arrondissement",45.76321,4.82911,"Apartment","Entire home/apt",6,3,4,210,14,720,23,215.714285714286,1510
"france","lyon","2020-07-25",71455,"5e Arrondissement",45.76206,4.82751,"Apartment","Entire home/apt",4,1,2,80,2,30,0,80,2400
"france","lyon","2020-07-25",77104,"1er Arrondissement",45.76962,4.8275,"Apartment","Entire home/apt",4,1,2,70,2,15,28,70,140
"france","lyon","2020-07-25",134539,"5e Arrondissement",45.7593,4.82548,"Apartment","Entire home/apt",4,2,2,52,2,30,20,60,600
"france","lyon","2020-07-25",136556,"3e Arrondissement",45.76208,4.85327,"Apartment","Entire home/apt",5,1,3,99,3,730,6,99,2376
"france","lyon","2020-07-25",137132,"6e Arrondissement",45.76854,4.85312,"Condominium","Entire home/apt",4,1,1,88,3,730,13,88,1496
"france","lyon","2020-07-25",174304,"1er Arrondissement",45.76695,4.83241,"Apartment","Entire home/apt",6,3,4,125,2,120,21,95.7777777777778,862
"france","lyon","2020-07-25",233372,"5e Arrondissement",45.7583,4.82194,"Apartment","Entire home/apt",2,1,1,70,2,365,29,53,53
"france","lyon","2020-07-25",249711,"7e Arrondissement",45.75104,4.83795,"Apartment","Entire home/apt",6,3,4,120,2,30,27,120,360
"france","lyon","2020-07-25",251630,"1er Arrondissement",45.77019,4.835,"Apartment","Entire home/apt",2,0,2,35,13,180,29,35,35
"france","lyon","2020-07-25",298089,"3e Arrondissement",45.75775,4.87644,"Apartment","Private room",3,1,2,24,1,5,0,23.1333333333333,694
"france","lyon","2020-07-25",329950,"3e Arrondissement",45.74817,4.87162,"Apartment","Private room",6,3,4,65,2,16,0,72,2160
"france","lyon","2020-07-25",342674,"3e Arrondissement",45.75383,4.84758,"Apartment","Entire home/apt",8,3,5,155,1,1125,17,155,2015
"france","lyon","2020-07-25",349150,"5e Arrondissement",45.76419,4.82794,"Apartment","Entire home/apt",4,1,3,79,2,1125,0,79,2370
"france","lyon","2020-07-25",365998,"1er Arrondissement",45.76846,4.82951,"Apartment","Entire home/apt",2,1,1,65,3,15,0,66,1980
"france","lyon","2020-07-25",369303,"6e Arrondissement",45.76407,4.86958,"Apartment","Entire home/apt",2,1,1,50,2,15,0,50,1500
"france","lyon","2020-07-25",387453,"1er Arrondissement",45.76872,4.83024,"Apartment","Entire home/apt",5,3,4,160,3,13,15,90,1350
"france","lyon","2020-07-25",403747,"2e Arrondissement",45.75865,4.83353,"Apartment","Private room",2,1,2,39,1,31,6,40.75,978
"france","lyon","2020-07-25",416475,"1er Arrondissement",45.77063,4.83459,"Apartment","Entire home/apt",4,2,2,55,2,1125,0,55,1650
"france","lyon","2020-07-25",452349,"3e Arrondissement",45.75398,4.87246,"Apartment","Private room",2,1,1,60,1,1125,27,60,180
"france","lyon","2020-07-25",501479,"3e Arrondissement",45.75358,4.85232,"Apartment","Entire home/apt",6,2,3,75,3,30,10,77.55,1551
"france","lyon","2020-07-25",504071,"1er Arrondissement",45.77005,4.83212,"Apartment","Entire home/apt",6,3,3,85,1,30,0,85,2550
"france","lyon","2020-07-25",511325,"8e Arrondissement",45.73366,4.85867,"House","Private room",1,1,1,29,1,200,0,31.7,951
