"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","germany","berlin","2020-06-13",2015,"Brunnenstr. Süd",52.53454,13.40256,"Guesthouse","Entire home/apt",3,1,0,"$60.00",4,1125,30,NA,0
"2","germany","berlin","2020-06-13",3176,"Prenzlauer Berg Südwest",52.535,13.41758,"Apartment","Entire home/apt",4,1,2,"$90.00",62,1125,30,NA,0
"3","germany","berlin","2020-06-13",3309,"Schöneberg-Nord",52.49885,13.34906,"Apartment","Private room",1,1,1,"$28.00",7,35,29,28,28
"4","germany","berlin","2020-06-13",7071,"Helmholtzplatz",52.54316,13.41509,"Apartment","Private room",2,1,2,"$33.00",1,10,0,40,1200
"5","germany","berlin","2020-06-13",9991,"Prenzlauer Berg Südwest",52.53303,13.41605,"Apartment","Entire home/apt",7,4,7,"$180.00",6,14,10,183,3660
"6","germany","berlin","2020-06-13",14325,"Prenzlauer Berg Nordwest",52.54785,13.40556,"Apartment","Entire home/apt",1,0,1,"$70.00",90,1125,28,70,140
"7","germany","berlin","2020-06-13",16644,"nördliche Luisenstadt",52.50479,13.4351,"Apartment","Entire home/apt",5,1,3,"$90.00",60,365,0,90,2700
"8","germany","berlin","2020-06-13",17904,"Reuterstraße",52.49548,13.42182,"Apartment","Entire home/apt",2,0,0,"$49.00",5,90,4,44.5,1157
"9","germany","berlin","2020-06-13",20858,"Prenzlauer Berg Südwest",52.53695,13.40762,"Loft","Entire home/apt",4,2,2,"$129.00",3,30,29,159,159
"10","germany","berlin","2020-06-13",21869,"nördliche Luisenstadt",52.50273,13.43462,"Apartment","Entire home/apt",4,1,2,"$70.00",60,365,0,70,2100
"11","germany","berlin","2020-06-13",22415,"südliche Luisenstadt",52.49485,13.4285,"Apartment","Entire home/apt",4,2,2,"$98.00",3,30,13,50,850
"12","germany","berlin","2020-06-13",22677,"Brunnenstr. Süd",52.53435,13.40558,"Apartment","Entire home/apt",5,1,4,"$160.00",2,24,30,NA,0
"13","germany","berlin","2020-06-13",23834,"Tempelhofer Vorstadt",52.48971,13.37975,"Condominium","Entire home/apt",4,1,3,"$65.00",185,360,0,65,1950
"14","germany","berlin","2020-06-13",24569,"Prenzlauer Berg Südwest",52.53079,13.41808,"Apartment","Entire home/apt",4,2,2,"$90.00",4,21,2,110,3080
"15","germany","berlin","2020-06-13",25653,"Prenzlauer Berg Süd",52.53026,13.41947,"Apartment","Entire home/apt",4,2,2,"$90.00",4,21,0,90,2700
"16","germany","berlin","2020-06-13",26543,"Helmholtzplatz",52.54406,13.42138,"Apartment","Entire home/apt",8,2,4,"$199.00",3,1125,30,NA,0
"17","germany","berlin","2020-06-13",28156,"Prenzlauer Berg Nordwest",52.54672,13.40512,"Apartment","Entire home/apt",1,0,1,"$70.00",90,1125,28,70,140
"18","germany","berlin","2020-06-13",29279,"Helmholtzplatz",52.54179,13.42388,"Apartment","Entire home/apt",4,2,3,"$65.00",60,180,0,65,1950
"19","germany","berlin","2020-06-13",30295,"Helmholtzplatz",52.54597,13.42236,"Apartment","Entire home/apt",8,2,4,"$100.00",4,365,3,105.185185185185,2840
"20","germany","berlin","2020-06-13",31440,"Helmholtzplatz",52.54309,13.42245,"Apartment","Private room",1,1,0,"$37.00",1,14,29,37,37
