"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","germany","munich","2020-06-20",36720,"Ludwigsvorstadt-Isarvorstadt",48.13057,11.56929,"Apartment","Entire home/apt",2,1,1,"$95.00",2,730,0,95,2850
"2","germany","munich","2020-06-20",97945,"Hadern",48.11476,11.48782,"Apartment","Entire home/apt",2,1,1,"$80.00",2,90,2,80,2240
"3","germany","munich","2020-06-20",114695,"Berg am Laim",48.11923,11.63726,"Apartment","Entire home/apt",5,1,3,"$95.00",2,30,0,95,2850
"4","germany","munich","2020-06-20",127383,"Maxvorstadt",48.15198,11.56486,"Apartment","Entire home/apt",4,1,1,"$120.00",2,14,6,120,2880
"5","germany","munich","2020-06-20",157808,"Schwabing-West",48.16381,11.56089,"Apartment","Private room",2,1,1,"$35.00",1,36,0,35,1050
"6","germany","munich","2020-06-20",159634,"Pasing-Obermenzing",48.13898,11.46612,"Apartment","Entire home/apt",3,1,1,"$55.00",3,90,4,52,1352
"7","germany","munich","2020-06-20",170154,"Sendling-Westpark",48.10751,11.52733,"House","Private room",4,1,2,"$55.00",2,1125,14,55,880
"8","germany","munich","2020-06-20",170815,"Neuhausen-Nymphenburg",48.16132,11.54154,"Apartment","Entire home/apt",2,1,1,"$65.00",3,14,30,NA,0
"9","germany","munich","2020-06-20",172672,"Schwabing-West",48.16341,11.56366,"Apartment","Private room",2,1,1,"$54.00",1,4,0,56,1680
"10","germany","munich","2020-06-20",172977,"Maxvorstadt",48.14816,11.55449,"Apartment","Private room",2,1,0,"$67.00",2,30,14,67.9375,1087
"11","germany","munich","2020-06-20",178114,"Maxvorstadt",48.15341,11.57267,"Apartment","Entire home/apt",2,1,1,"$59.00",3,30,0,63.5,1905
"12","germany","munich","2020-06-20",179640,"Bogenhausen",48.14574,11.63908,"Condominium","Private room",1,1,1,"$35.00",2,30,29,39,39
"13","germany","munich","2020-06-20",183634,"Allach-Untermenzing",48.17449,11.44619,"Igloo","Shared room",16,1,0,"$50.00",1,730,30,NA,0
"14","germany","munich","2020-06-20",186596,"Au-Haidhausen",48.12198,11.57644,"Apartment","Shared room",5,1,3,"$85.00",1,1125,0,75,2250
"15","germany","munich","2020-06-20",187359,"Neuhausen-Nymphenburg",48.15849,11.54106,"Apartment","Private room",2,1,1,"$69.00",2,7,29,69,69
"16","germany","munich","2020-06-20",187386,"Berg am Laim",48.12199,11.62761,"Apartment","Private room",2,1,2,"$59.00",2,7,30,NA,0
"17","germany","munich","2020-06-20",189551,"Schwanthalerhöhe",48.1354,11.54618,"Apartment","Entire home/apt",6,2,4,"$120.00",3,180,5,120,3000
"18","germany","munich","2020-06-20",189582,"Bogenhausen",48.15672,11.64901,"Apartment","Private room",1,1,1,"$19.00",30,365,0,25,750
"19","germany","munich","2020-06-20",189606,"Au-Haidhausen",48.12551,11.58045,"Apartment","Entire home/apt",4,1,2,"$51.00",2,60,18,51,612
"20","germany","munich","2020-06-20",190383,"Berg am Laim",48.12452,11.63223,"Apartment","Private room",1,1,1,"$25.00",2,730,0,25,750
"21","germany","munich","2020-06-20",190453,"Tudering-Riem",48.13211,11.69417,"Apartment","Entire home/apt",6,2,3,"$200.00",3,180,0,200,6000
"22","germany","munich","2020-06-20",190474,"Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Entire home/apt",8,3,4,"$180.00",1,365,15,180,2700
"23","germany","munich","2020-06-20",190529,"Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",4,1,2,"$50.00",1,5,11,53.1578947368421,1010
"24","germany","munich","2020-06-20",190564,"Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",2,1,1,"$90.00",1,5,28,50,100
"25","germany","munich","2020-06-20",190565,"Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",2,1,1,"$80.00",1,5,30,NA,0
"26","germany","munich","2020-06-20",190653,"Ludwigsvorstadt-Isarvorstadt",48.12951,11.56103,"Apartment","Entire home/apt",2,1,1,"$60.00",1,730,19,81.8181818181818,900
"27","germany","munich","2020-06-20",191405,"Au-Haidhausen",48.12175,11.57879,"Apartment","Entire home/apt",2,1,1,"$65.00",2,7,0,65,1950
"28","germany","munich","2020-06-20",191429,"Ludwigsvorstadt-Isarvorstadt",48.12821,11.55607,"Apartment","Private room",1,1,1,"$32.00",140,365,30,NA,0
"29","germany","munich","2020-06-20",191535,"Sendling",48.11468,11.53897,"Apartment","Private room",4,1,1,"$240.00",1,14,0,240,7200
"30","germany","munich","2020-06-20",192933,"Ludwigsvorstadt-Isarvorstadt",48.13012,11.56642,"Apartment","Shared room",4,1,0,"$70.00",3,21,21,70,630
"31","germany","munich","2020-06-20",193424,"Schwabing-Freimann",48.15262,11.5846,"Apartment","Entire home/apt",2,1,1,"$85.00",2,40,0,75.0333333333333,2251
"32","germany","munich","2020-06-20",193463,"Maxvorstadt",48.15519,11.5715,"Apartment","Private room",1,1,1,"$40.00",2,30,22,50.625,405
"33","germany","munich","2020-06-20",193477,"Maxvorstadt",48.15617,11.56845,"Apartment","Private room",1,1,1,"$33.00",2,7,18,37,444
"34","germany","munich","2020-06-20",194533,"Neuhausen-Nymphenburg",48.14822,11.5398,"Apartment","Entire home/apt",2,1,1,"$120.00",1,3,29,120,120
"35","germany","munich","2020-06-20",195293,"Schwabing-West",48.164,11.56706,"Condominium","Private room",2,1,1,"$45.00",30,210,19,45,495
"36","germany","munich","2020-06-20",195371,"Feldmoching-Hasenbergl",48.19444,11.53349,"House","Private room",2,1,2,"$29.00",2,360,6,29,696
"37","germany","munich","2020-06-20",195388,"Ramersdorf-Perlach",48.10141,11.60523,"Townhouse","Entire home/apt",4,1,2,"$75.00",2,7,29,75,75
"38","germany","munich","2020-06-20",195444,"Ludwigsvorstadt-Isarvorstadt",48.12092,11.56138,"Apartment","Private room",3,1,2,"$55.00",3,20,26,55,220
"39","germany","munich","2020-06-20",195452,"Ludwigsvorstadt-Isarvorstadt",48.1214,11.55984,"Apartment","Entire home/apt",5,2,6,"$95.00",10,30,1,95,2755
"40","germany","munich","2020-06-20",196127,"Ludwigsvorstadt-Isarvorstadt",48.13274,11.57445,"Apartment","Private room",2,1,2,"$30.00",2,45,0,31,930
"41","germany","munich","2020-06-20",196214,"Bogenhausen",48.14056,11.60339,"Apartment","Private room",2,1,1,"$55.00",14,365,26,55,220
"42","germany","munich","2020-06-20",196230,"Au-Haidhausen",48.12022,11.57653,"Apartment","Private room",2,1,1,"$39.00",1,14,15,39,585
"43","germany","munich","2020-06-20",196243,"Au-Haidhausen",48.12185,11.57651,"Apartment","Private room",2,1,0,"$45.00",1,30,0,45,1350
"44","germany","munich","2020-06-20",196265,"Au-Haidhausen",48.12106,11.57525,"Apartment","Entire home/apt",2,1,1,"$66.00",6,90,0,75,2250
"45","germany","munich","2020-06-20",197197,"Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln",48.08941,11.51371,"House","Private room",2,1,1,"$48.00",2,30,0,49.6333333333333,1489
"46","germany","munich","2020-06-20",197660,"Sendling-Westpark",48.11009,11.5307,"Apartment","Private room",2,1,1,"$50.00",2,30,30,NA,0
"47","germany","munich","2020-06-20",198942,"Berg am Laim",48.11929,11.64251,"Apartment","Private room",2,1,1,"$48.00",2,93,19,48,528
