"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","bergamo","2020-04-28",15526,"Solto Collina",45.78464,10.02629,"Villa","Entire home/apt",5,2,4,82,3,28,0,7999,239970
"italy","bergamo","2020-04-28",15542,"Solto Collina",45.78354,10.02471,"Villa","Entire home/apt",3,1,2,59,3,28,25,53,265
"italy","bergamo","2020-04-28",31412,"Bergamo",45.69052,9.67099,"Apartment","Entire home/apt",4,1,2,69,1,31,0,64.9333333333333,1948
"italy","bergamo","2020-04-28",116423,"Bossico",45.8284,10.04476,"Apartment","Entire home/apt",4,2,4,41,2,90,28,25,50
"italy","bergamo","2020-04-28",130750,"Rota d'Imagna",45.83829,9.51059,"Apartment","Entire home/apt",4,1,6,50,7,730,23,50,350
"italy","bergamo","2020-04-28",140767,"Capriate San Gervasio",45.59565,9.5371,"Apartment","Entire home/apt",4,1,4,85,2,28,0,86.3333333333333,2590
"italy","bergamo","2020-04-28",153138,"Costa di Mezzate",45.66376,9.79418,"Apartment","Private room",1,1,1,49,1,730,30,NA,0
"italy","bergamo","2020-04-28",179345,"Bossico",45.82723,10.04484,"Apartment","Entire home/apt",4,1,4,29,2,30,28,27,54
"italy","bergamo","2020-04-28",215933,"Bergamo",45.69884,9.67598,"Loft","Private room",3,1,2,70,1,365,27,65.3333333333333,196
"italy","bergamo","2020-04-28",215946,"Bergamo",45.69769,9.67485,"Apartment","Private room",2,1,1,42,1,365,30,NA,0
"italy","bergamo","2020-04-28",225436,"Solto Collina",45.78667,10.04325,"House","Entire home/apt",3,1,1,65,2,30,29,95,95
"italy","bergamo","2020-04-28",239706,"Trescore Balneario",45.69205,9.84779,"House","Entire home/apt",3,1,3,65,4,30,30,NA,0
"italy","bergamo","2020-04-28",288012,"Bergamo",45.70823,9.67585,"Apartment","Entire home/apt",7,3,3,210,2,15,0,210,6300
"italy","bergamo","2020-04-28",295323,"Costa Serina",45.81534,9.74472,"Apartment","Entire home/apt",4,2,4,70,7,30,30,NA,0
"italy","bergamo","2020-04-28",309949,"Riva di Solto",45.77813,10.04171,"Apartment","Entire home/apt",6,2,4,90,3,28,0,89.3333333333333,2680
"italy","bergamo","2020-04-28",321634,"Bergamo",45.6949,9.69,"Apartment","Entire home/apt",2,1,1,49,2,1125,29,49,49
"italy","bergamo","2020-04-28",321684,"Bergamo",45.70255,9.67256,"Apartment","Entire home/apt",2,1,1,58,2,1125,22,58.75,470
"italy","bergamo","2020-04-28",329536,"Bergamo",45.6888,9.66989,"Apartment","Entire home/apt",4,1,2,60,3,330,0,62.6666666666667,1880
"italy","bergamo","2020-04-28",343812,"Riva di Solto",45.7825,10.04553,"Apartment","Entire home/apt",4,0,2,39,2,1124,30,NA,0
"italy","bergamo","2020-04-28",363812,"Costa Volpino",45.83095,10.09509,"Apartment","Entire home/apt",5,2,5,500,2,30,0,500,15000
"italy","bergamo","2020-04-28",407559,"Lovere",45.81965,10.07578,"House","Entire home/apt",2,1,1,60,1,30,30,NA,0
"italy","bergamo","2020-04-28",431080,"Seriate",45.68648,9.71422,"Apartment","Entire home/apt",4,1,2,38,2,29,30,NA,0
"italy","bergamo","2020-04-28",436430,"Oltre il Colle",45.89382,9.77092,"Villa","Entire home/apt",6,4,6,40,30,365,30,NA,0
"italy","bergamo","2020-04-28",453966,"Onore",45.88878,10.0141,"Apartment","Entire home/apt",5,2,5,80,3,30,27,86.6666666666667,260
"italy","bergamo","2020-04-28",458623,"Solto Collina",45.78525,10.04575,"House","Entire home/apt",8,3,5,100,2,30,30,NA,0
"italy","bergamo","2020-04-28",459221,"Bergamo",45.70356,9.66459,"Bed and breakfast","Private room",5,2,5,45,1,7,25,45,225
"italy","bergamo","2020-04-28",477862,"Credaro",45.65613,9.93224,"Apartment","Entire home/apt",10,3,10,100,3,30,0,29,870
