"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","bergamo","2020-06-29",15526,"Solto Collina",45.78464,10.02629,"Villa","Entire home/apt",5,2,4,"$82.00",3,28,1,101,2929
"2","italy","bergamo","2020-06-29",15542,"Solto Collina",45.78354,10.02471,"Villa","Entire home/apt",3,1,2,"$59.00",3,28,0,7999,239970
"3","italy","bergamo","2020-06-29",31412,"Bergamo",45.69052,9.67099,"Apartment","Entire home/apt",4,1,2,"$69.00",1,31,2,62.5,1750
"4","italy","bergamo","2020-06-29",116423,"Bossico",45.8284,10.04476,"Apartment","Entire home/apt",4,2,4,"$41.00",10,90,0,35.4666666666667,1064
"5","italy","bergamo","2020-06-29",130750,"Rota d'Imagna",45.83829,9.51059,"Apartment","Entire home/apt",4,1,6,"$50.00",7,730,23,50,350
"6","italy","bergamo","2020-06-29",140767,"Capriate San Gervasio",45.59565,9.5371,"Apartment","Entire home/apt",4,1,4,"$85.00",2,28,0,86.3333333333333,2590
"7","italy","bergamo","2020-06-29",153138,"Costa di Mezzate",45.66376,9.79418,"Apartment","Private room",1,1,1,"$49.00",1,730,30,NA,0
"8","italy","bergamo","2020-06-29",177063,"Treviolo",45.67901,9.63051,"Apartment","Entire home/apt",4,1,2,"$50.00",1,180,23,50,350
"9","italy","bergamo","2020-06-29",179345,"Bossico",45.82723,10.04484,"Apartment","Entire home/apt",4,1,4,"$29.00",10,30,0,28.9333333333333,868
"10","italy","bergamo","2020-06-29",215933,"Bergamo",45.69884,9.67598,"Loft","Private room",3,1,2,"$70.00",1,365,11,37.2631578947368,708
"11","italy","bergamo","2020-06-29",215946,"Bergamo",45.69769,9.67485,"Apartment","Private room",2,1,1,"$42.00",1,365,11,29.8421052631579,567
"12","italy","bergamo","2020-06-29",225436,"Solto Collina",45.78667,10.04325,"House","Entire home/apt",3,1,1,"$65.00",2,30,27,95,285
"13","italy","bergamo","2020-06-29",239706,"Trescore Balneario",45.69205,9.84779,"House","Entire home/apt",3,1,3,"$65.00",4,30,30,NA,0
"14","italy","bergamo","2020-06-29",288012,"Bergamo",45.70823,9.67585,"Apartment","Entire home/apt",7,3,3,"$210.00",2,15,0,210,6300
"15","italy","bergamo","2020-06-29",295323,"Costa Serina",45.81534,9.74472,"Apartment","Entire home/apt",4,2,4,"$70.00",7,30,30,NA,0
"16","italy","bergamo","2020-06-29",309949,"Riva di Solto",45.77813,10.04171,"Apartment","Entire home/apt",6,2,4,"$90.00",3,28,0,90,2700
