"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","bologna","2020-06-15",42196,"Santo Stefano",44.48507,11.34786,"Apartment","Entire home/apt",2,1,1,"$68.00",3,360,30,NA,0
"2","italy","bologna","2020-06-15",46352,"Porto - Saragozza",44.49168,11.33514,"Apartment","Private room",3,1,3,"$29.00",1,730,30,NA,0
"3","italy","bologna","2020-06-15",59697,"Santo Stefano",44.48817,11.34124,"Apartment","Entire home/apt",6,3,6,"$70.00",1,120,0,70,2100
"4","italy","bologna","2020-06-15",70366,"Porto - Saragozza",44.49699,11.32206,"House","Entire home/apt",2,1,2,"$63.00",1,730,29,63,63
"5","italy","bologna","2020-06-15",72628,"Porto - Saragozza",44.49088,11.3384,"Apartment","Entire home/apt",4,1,3,"$40.00",1,150,25,55.6,278
"6","italy","bologna","2020-06-15",85368,"Santo Stefano",44.47834,11.35672,"Apartment","Entire home/apt",5,2,5,"$130.00",2,1125,2,130,3640
"7","italy","bologna","2020-06-15",130642,"Savena",44.46817,11.39,"Apartment","Private room",2,1,1,"$50.00",2,30,30,NA,0
"8","italy","bologna","2020-06-15",145779,"Porto - Saragozza",44.49306,11.33786,"Apartment","Private room",1,1,1,"$40.00",3,365,30,NA,0
"9","italy","bologna","2020-06-15",184665,"Santo Stefano",44.50189,11.35031,"Apartment","Private room",5,1,5,"$32.00",1,365,30,NA,0
"10","italy","bologna","2020-06-15",204553,"Porto - Saragozza",44.49105,11.33982,"Apartment","Private room",1,1,2,"$49.00",2,15,0,49,1470
"11","italy","bologna","2020-06-15",207245,"Porto - Saragozza",44.49254,11.34009,"Apartment","Entire home/apt",6,3,6,"$110.00",4,60,21,127.777777777778,1150
"12","italy","bologna","2020-06-15",209692,"Navile",44.51628,11.33074,"Apartment","Private room",1,1,1,"$25.00",1,90,0,25,750
"13","italy","bologna","2020-06-15",214615,"Santo Stefano",44.50172,11.35047,"Apartment","Private room",5,1,3,"$32.00",1,760,30,NA,0
"14","italy","bologna","2020-06-15",219878,"Santo Stefano",44.48787,11.35392,"Apartment","Entire home/apt",2,1,2,"$85.00",3,150,27,85,255
"15","italy","bologna","2020-06-15",229114,"Navile",44.51072,11.34957,"Apartment","Entire home/apt",4,2,4,"$64.00",3,30,22,64,512
"16","italy","bologna","2020-06-15",233922,"Porto - Saragozza",44.49589,11.32976,"Apartment","Entire home/apt",5,2,4,"$80.00",4,60,0,80,2400
"17","italy","bologna","2020-06-15",245295,"Porto - Saragozza",44.4868,11.31471,"House","Entire home/apt",3,1,1,"$74.00",3,1125,29,74,74
"18","italy","bologna","2020-06-15",246747,"Porto - Saragozza",44.49702,11.34291,"Apartment","Private room",2,1,2,"$68.00",2,15,29,68,68
"19","italy","bologna","2020-06-15",252657,"Santo Stefano",44.50035,11.35147,"Condominium","Private room",3,1,2,"$32.00",1,365,29,32,32
"20","italy","bologna","2020-06-15",253252,"Santo Stefano",44.50164,11.35185,"Apartment","Private room",1,1,NA,"$32.00",1,760,29,70,70
"21","italy","bologna","2020-06-15",266777,"Porto - Saragozza",44.49487,11.33241,"Apartment","Entire home/apt",4,1,1,"$85.00",1,1124,25,75,375
"22","italy","bologna","2020-06-15",273713,"Porto - Saragozza",44.49517,11.33964,"Apartment","Private room",2,1,2,"$60.00",2,4,28,60,120
"23","italy","bologna","2020-06-15",286691,"Santo Stefano",44.47361,11.36977,"Condominium","Private room",1,1,0,"$50.00",1,365,30,NA,0
"24","italy","bologna","2020-06-15",293536,"Santo Stefano",44.49439,11.35371,"Apartment","Entire home/apt",5,3,3,"$130.00",7,120,30,NA,0
"25","italy","bologna","2020-06-15",306910,"Santo Stefano",44.49555,11.3443,"Apartment","Entire home/apt",4,1,1,"$150.00",3,180,21,80,720
"26","italy","bologna","2020-06-15",309169,"Santo Stefano",44.48563,11.34797,"Apartment","Private room",2,1,2,"$100.00",1,90,30,NA,0
"27","italy","bologna","2020-06-15",359045,"Santo Stefano",44.49512,11.35045,"Apartment","Entire home/apt",3,1,1,"$55.00",7,1125,0,55,1650
"28","italy","bologna","2020-06-15",359082,"Santo Stefano",44.49687,11.35013,"Apartment","Private room",1,1,NA,"$55.00",7,1125,0,55,1650
"29","italy","bologna","2020-06-15",372605,"Santo Stefano",44.47733,11.34821,"Tiny house","Entire home/apt",3,1,2,"$70.00",2,90,0,55,1650
"30","italy","bologna","2020-06-15",373095,"Porto - Saragozza",44.49745,11.33025,"Apartment","Entire home/apt",4,1,3,"$69.00",2,1125,22,69,552
"31","italy","bologna","2020-06-15",374090,"Porto - Saragozza",44.49548,11.33022,"Apartment","Entire home/apt",4,1,1,"$250.00",2,30,30,NA,0
"32","italy","bologna","2020-06-15",374610,"Santo Stefano",44.49128,11.35617,"Apartment","Entire home/apt",2,1,1,"$51.00",2,90,20,26,260
"33","italy","bologna","2020-06-15",376826,"Porto - Saragozza",44.49564,11.33601,"Apartment","Entire home/apt",4,1,2,"$90.00",2,365,29,90,90
"34","italy","bologna","2020-06-15",383256,"Porto - Saragozza",44.50103,11.34218,"Loft","Entire home/apt",5,1,2,"$75.00",2,90,0,98.4666666666667,2954
"35","italy","bologna","2020-06-15",411523,"Santo Stefano",44.4931,11.35442,"Apartment","Entire home/apt",2,1,2,"$80.00",2,365,27,70,210
"36","italy","bologna","2020-06-15",434796,"San Donato - San Vitale",44.52134,11.38173,"House","Private room",1,1,1,"$100.00",2,1125,16,100,1400
"37","italy","bologna","2020-06-15",442819,"Porto - Saragozza",44.49614,11.31751,"Apartment","Private room",2,1,1,"$40.00",1,7,29,34,34
"38","italy","bologna","2020-06-15",496906,"Porto - Saragozza",44.49032,11.33749,"Apartment","Entire home/apt",2,1,1,"$70.00",2,180,30,NA,0
"39","italy","bologna","2020-06-15",510771,"Borgo Panigale - Reno",44.49596,11.2911,"Condominium","Private room",2,1,0,"$100.00",1,7,0,100,3000
"40","italy","bologna","2020-06-15",524880,"Santo Stefano",44.48855,11.35387,"Apartment","Entire home/apt",2,1,2,"$49.00",3,18,29,49,49
"41","italy","bologna","2020-06-15",531700,"Santo Stefano",44.49441,11.34964,"Apartment","Entire home/apt",4,1,2,"$52.00",2,300,0,61.5,1845
"42","italy","bologna","2020-06-15",556818,"Santo Stefano",44.49723,11.34701,"Apartment","Entire home/apt",2,1,1,"$120.00",2,8,29,120,120
