"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","florence","2020-07-23",24469,"Centro Storico",43.78308,11.24418,"Apartment","Entire home/apt",4,NA,NA,72,2,365,30,NA,0
"2","italy","florence","2020-07-23",24470,"Centro Storico",43.78287,11.24431,"Apartment","Entire home/apt",3,NA,NA,72,2,365,30,NA,0
"3","italy","florence","2020-07-23",24471,"Centro Storico",43.78292,11.2446,"Apartment","Entire home/apt",6,NA,NA,135,2,365,30,NA,0
"4","italy","florence","2020-07-23",24472,"Centro Storico",43.7815,11.24507,"Apartment","Entire home/apt",6,NA,NA,120,2,365,30,NA,0
"5","italy","florence","2020-07-23",29982,"Centro Storico",43.77348,11.2545,"Apartment","Entire home/apt",5,NA,NA,197.238356164384,7,1125,28,197.238356164384,400
"6","italy","florence","2020-07-23",31840,"Centro Storico",43.77709,11.25216,"Serviced apartment","Private room",2,NA,NA,65.9671232876712,2,99,15,65.9671232876712,702
"7","italy","florence","2020-07-23",32120,"Gavinana Galluzzo",43.76352,11.27726,"Apartment","Entire home/apt",2,NA,NA,75,1,5,29,75,75
"8","italy","florence","2020-07-23",32180,"Centro Storico",43.76964,11.2436,"Apartment","Entire home/apt",4,NA,NA,90.5205479452055,3,60,28,90.5205479452055,178
"9","italy","florence","2020-07-23",32395,"Centro Storico",43.76158,11.24188,"Bed and breakfast","Hotel room",2,NA,NA,65.9452054794521,2,1125,25,65.9452054794521,300
"10","italy","florence","2020-07-23",39115,"Centro Storico",43.77525,11.25258,"House","Private room",2,NA,NA,65.4547945205479,2,365,30,NA,0
"11","italy","florence","2020-07-23",39165,"Centro Storico",43.77525,11.25258,"House","Private room",2,NA,NA,85.2054794520548,2,365,30,NA,0
"12","italy","florence","2020-07-23",39821,"Centro Storico",43.76853,11.24395,"Apartment","Entire home/apt",3,NA,NA,64.7095890410959,3,365,19,64.7095890410959,717
"13","italy","florence","2020-07-23",39822,"Centro Storico",43.76865,11.24426,"Apartment","Entire home/apt",4,NA,NA,68.7534246575343,4,1125,0,68.7534246575343,1580
"14","italy","florence","2020-07-23",42997,"Centro Storico",43.76944,11.26331,"Apartment","Entire home/apt",2,NA,NA,91.1917808219178,3,999,30,NA,0
"15","italy","florence","2020-07-23",43365,"Centro Storico",43.76944,11.26331,"Apartment","Entire home/apt",3,NA,NA,141.972602739726,3,999,0,141.972602739726,4143
"16","italy","florence","2020-07-23",43369,"Centro Storico",43.76944,11.26331,"Apartment","Entire home/apt",2,NA,NA,122.94262295082,NA,NA,29,122.94262295082,126
"17","italy","florence","2020-07-23",44781,"Centro Storico",43.76418,11.24618,"Apartment","Entire home/apt",4,NA,NA,163.043835616438,3,1125,30,NA,0
"18","italy","florence","2020-07-23",45606,"Isolotto Legnaia",43.7728,11.23746,"Entire apartment","Entire home/apt",3,NA,NA,50.6575342465753,4,180,10,50.6575342465753,1000
"19","italy","florence","2020-07-23",46523,"Centro Storico",43.77704,11.25217,"Serviced apartment","Private room",1,NA,NA,44.2383561643836,2,99,21,44.2383561643836,286
"20","italy","florence","2020-07-23",46524,"Centro Storico",43.77701,11.25228,"Serviced apartment","Private room",3,NA,NA,77.813698630137,2,99,12,77.813698630137,838
"21","italy","florence","2020-07-23",47498,"Centro Storico",43.77224,11.24996,"Serviced apartment","Private room",3,NA,NA,45.6356164383562,1,10,19,45.6356164383562,462
"22","italy","florence","2020-07-23",48372,"Centro Storico",43.77525,11.25258,"House","Private room",1,NA,NA,48.4958904109589,2,365,30,NA,0
"23","italy","florence","2020-07-23",52543,"Isolotto Legnaia",43.77336,11.23653,"Apartment","Entire home/apt",5,NA,NA,59.9041095890411,4,180,15,59.9041095890411,875
"24","italy","florence","2020-07-23",52545,"Isolotto Legnaia",43.77196,11.23862,"Apartment","Entire home/apt",4,NA,NA,65.8219178082192,5,1125,2,65.8219178082192,1820
"25","italy","florence","2020-07-23",56143,"Centro Storico",43.76925,11.25516,"Apartment","Entire home/apt",4,NA,NA,117.764383561644,2,50,16,117.764383561644,2736
