"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","milan","2020-08-31",6400,"TIBALDI",45.44195,9.17797,"Private room in apartment","Private room",1,3,1,100,4,5,23,100,700
"italy","milan","2020-08-31",23986,"NAVIGLI",45.44991,9.17597,"Entire apartment","Entire home/apt",4,1,1,150,1,730,24,150,900
"italy","milan","2020-08-31",32119,"VIALE MONZA",45.51988,9.2231,"Entire apartment","Entire home/apt",4,1,4,107,3,730,29,75,75
"italy","milan","2020-08-31",32649,"VIALE MONZA",45.51942,9.22615,"Entire apartment","Entire home/apt",4,1,3,72,3,730,29,70,70
"italy","milan","2020-08-31",37256,"GUASTALLA",45.47074,9.20578,"Private room in apartment","Private room",1,1,1,55,2,730,27,55,165
"italy","milan","2020-08-31",40470,"VIALE MONZA",45.52111,9.22727,"Entire apartment","Entire home/apt",4,2,4,182,3,90,30,NA,0
"italy","milan","2020-08-31",42732,"TICINESE",45.45664,9.17662,"Entire apartment","Entire home/apt",4,2,0,290,2,30,27,290,870
"italy","milan","2020-08-31",46536,"VIALE MONZA",45.52213,9.22693,"Entire apartment","Entire home/apt",5,1,5,76,3,730,29,75,75
"italy","milan","2020-08-31",52181,"BAGGIO",45.46443,9.09046,"Entire apartment","Entire home/apt",3,1,2,60,4,30,0,60,1800
"italy","milan","2020-08-31",55055,"BUENOS AIRES - VENEZIA",45.48055,9.21629,"Entire apartment","Entire home/apt",3,2,1,145,3,180,30,NA,0
"italy","milan","2020-08-31",59226,"GARIBALDI REPUBBLICA",45.48263,9.19674,"Entire apartment","Entire home/apt",2,1,1,120,2,10,29,120,120
"italy","milan","2020-08-31",65142,"CENTRALE",45.48023,9.20181,"Entire condominium","Entire home/apt",2,1,1,52,20,365,7,53.7391304347826,1236
"italy","milan","2020-08-31",69749,"XXII MARZO",45.46739,9.20786,"Entire apartment","Entire home/apt",4,2,2,140,2,15,27,140,420
"italy","milan","2020-08-31",70591,"SARPI",45.48207,9.17906,"Private room in apartment","Private room",2,1,1,100,1,6,29,100,100
"italy","milan","2020-08-31",73892,"BRERA",45.47015,9.19134,"Entire apartment","Entire home/apt",2,1,1,101,2,60,29,94,94
"italy","milan","2020-08-31",74835,"DUOMO",45.4689,9.17943,"Entire apartment","Entire home/apt",2,1,1,280,7,16,0,280,8400
"italy","milan","2020-08-31",75741,"BRERA",45.47179,9.18378,"Entire apartment","Entire home/apt",2,1,1,150,2,60,0,150,4500
