"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","naples","2020-07-20",24398,"San Carlo all'Arena",40.85714,14.25763,"Apartment","Entire home/apt",4,NA,NA,221.452054794521,3,180,29,221.452054794521,230
"2","italy","naples","2020-07-20",30536,"San Lorenzo",40.85543,14.25812,"Condominium","Private room",2,NA,NA,36.4246575342466,2,30,29,36.4246575342466,35
"3","italy","naples","2020-07-20",49051,"San Lorenzo",40.85156,14.26255,"Bed and breakfast","Private room",2,NA,NA,29,1,365,30,NA,0
"4","italy","naples","2020-07-20",51629,"San Lorenzo",40.85308,14.26167,"Bed and breakfast","Private room",2,NA,NA,29,1,365,30,NA,0
"5","italy","naples","2020-07-20",51630,"San Lorenzo",40.85326,14.26149,"Bed and breakfast","Private room",2,NA,NA,29,2,365,29,29,29
"6","italy","naples","2020-07-20",51631,"San Lorenzo",40.85294,14.26303,"Bed and breakfast","Private room",2,NA,NA,29,1,365,30,NA,0
"7","italy","naples","2020-07-20",51632,"San Lorenzo",40.8532,14.26311,"Bed and breakfast","Private room",3,NA,NA,29,1,730,30,NA,0
"8","italy","naples","2020-07-20",63413,"Chiaia",40.83319,14.22613,"Apartment","Entire home/apt",2,NA,NA,57.1506849315069,2,1125,21,57.1506849315069,520
"9","italy","naples","2020-07-20",74364,"San Lorenzo",40.8512,14.25217,"Apartment","Entire home/apt",2,NA,NA,40.0630136986301,3,1125,25,40.0630136986301,213
"10","italy","naples","2020-07-20",76993,"Vomero",40.84568,14.22618,"Condominium","Private room",3,NA,NA,30.0684931506849,3,1125,17,30.0684931506849,475
"11","italy","naples","2020-07-20",77009,"Vomero",40.84568,14.22618,"Apartment","Private room",2,NA,NA,24.6876712328767,3,1125,18,24.6876712328767,300
"12","italy","naples","2020-07-20",77010,"Vomero",40.84568,14.22618,"Condominium","Private room",3,NA,NA,24.5901639344262,NA,NA,18,24.5901639344262,295
"13","italy","naples","2020-07-20",107336,"San Ferdinando",40.83992,14.24613,"Apartment","Entire home/apt",2,NA,NA,34.9205479452055,2,30,2,34.9205479452055,1138
"14","italy","naples","2020-07-20",112346,"San Lorenzo",40.854,14.26913,"Hotel","Hotel room",2,NA,NA,40.7561643835616,1,730,28,40.7561643835616,80
