"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","naples","2020-08-31",24398,"San Carlo all'Arena",40.85714,14.25763,"Entire apartment","Entire home/apt",4,3,3,221,3,180,29,230,230
"italy","naples","2020-08-31",30536,"San Lorenzo",40.85543,14.25812,"Private room in condominium","Private room",2,1,0,36,2,30,29,35,35
"italy","naples","2020-08-31",49051,"San Lorenzo",40.85156,14.26255,"Private room in bed and breakfast","Private room",2,1,1,29,1,365,30,NA,0
"italy","naples","2020-08-31",51629,"San Lorenzo",40.85308,14.26167,"Private room in bed and breakfast","Private room",2,1,1,29,1,365,30,NA,0
"italy","naples","2020-08-31",51630,"San Lorenzo",40.85326,14.26149,"Private room in bed and breakfast","Private room",2,1,1,29,2,365,29,29,29
"italy","naples","2020-08-31",51631,"San Lorenzo",40.85294,14.26303,"Private room in bed and breakfast","Private room",2,1,1,29,1,365,30,NA,0
"italy","naples","2020-08-31",51632,"San Lorenzo",40.8532,14.26311,"Private room in bed and breakfast","Private room",3,1,3,29,1,730,30,NA,0
"italy","naples","2020-08-31",63413,"Chiaia",40.83319,14.22613,"Entire apartment","Entire home/apt",2,1,0,57,2,60,28,60,120
"italy","naples","2020-08-31",74364,"San Lorenzo",40.8512,14.25217,"Entire apartment","Entire home/apt",2,1,1,47,3,1125,11,41.3684210526316,786
"italy","naples","2020-08-31",76993,"Vomero",40.84568,14.22618,"Private room in condominium","Private room",3,1,2,30,2,35,16,30,420
"italy","naples","2020-08-31",77009,"Vomero",40.84568,14.22618,"Private room in apartment","Private room",2,1,1,23,3,35,23,22.8571428571429,160
"italy","naples","2020-08-31",77010,"Vomero",40.84568,14.22618,"Private room in condominium","Private room",3,1,2,23,3,35,24,22.8333333333333,137
"italy","naples","2020-08-31",107336,"San Ferdinando",40.83992,14.24613,"Entire apartment","Entire home/apt",2,1,1,43,2,30,0,44.5,1335
"italy","naples","2020-08-31",112346,"San Lorenzo",40.854,14.26913,"Room in hotel","Hotel room",2,1,2,40,1,730,29,40,40
"italy","naples","2020-08-31",113520,"Mercato",40.84582,14.27526,"Entire apartment","Entire home/apt",4,1,2,35,1,29,29,35,35
"italy","naples","2020-08-31",129087,"San Carlo all'Arena",40.85876,14.26108,"Private room in bed and breakfast","Private room",2,1,1,45,2,25,30,NA,0
"italy","naples","2020-08-31",137587,"San Lorenzo",40.85361,14.25844,"Entire apartment","Entire home/apt",5,3,3,69,3,30,30,NA,0
"italy","naples","2020-08-31",157691,"Pendino",40.84997,14.26052,"Entire apartment","Entire home/apt",4,1,0,31,2,30,12,28.7777777777778,518
"italy","naples","2020-08-31",158928,"San Lorenzo",40.85392,14.25673,"Entire apartment","Entire home/apt",6,3,3,90,1,730,23,90,630
"italy","naples","2020-08-31",162072,"San Giuseppe",40.84816,14.25409,"Entire apartment","Entire home/apt",5,1,2,60,2,180,30,NA,0
"italy","naples","2020-08-31",163695,"San Giuseppe",40.84199,14.25234,"Private room in apartment","Private room",2,1,2,30,3,60,28,30,60
"italy","naples","2020-08-31",163929,"Porto",40.8402,14.25516,"Entire condominium","Entire home/apt",3,1,3,72,1,365,29,72,72
"italy","naples","2020-08-31",167940,"San Ferdinando",40.8361,14.24719,"Entire apartment","Entire home/apt",9,3,8,90,2,90,5,90,2250
"italy","naples","2020-08-31",169588,"San Giuseppe",40.84509,14.25026,"Entire condominium","Entire home/apt",6,1,6,65,1,365,17,65,845
"italy","naples","2020-08-31",170880,"San Carlo all'Arena",40.85848,14.26011,"Private room in bed and breakfast","Private room",2,1,1,45,2,60,22,45,360
"italy","naples","2020-08-31",171677,"San Carlo all'Arena",40.85862,14.25964,"Private room in bed and breakfast","Private room",2,1,1,40,2,30,29,42,42
"italy","naples","2020-08-31",176475,"Chiaia",40.83592,14.23648,"Entire apartment","Entire home/apt",8,3,6,143,1,31,0,141,4230
"italy","naples","2020-08-31",183077,"Montecalvario",40.84626,14.24337,"Entire apartment","Entire home/apt",4,2,NA,120,3,365,30,NA,0
"italy","naples","2020-08-31",185205,"San Lorenzo",40.85576,14.26332,"Private room in bed and breakfast","Private room",2,1,1,50,1,10,0,50,1500
"italy","naples","2020-08-31",191679,"Chiaia",40.83486,14.22451,"Entire apartment","Entire home/apt",5,1,1,40,2,1825,19,45.3636363636364,499
"italy","naples","2020-08-31",191818,"Chiaia",40.83694,14.23259,"Private room in bed and breakfast","Private room",3,1,1,30,1,730,29,30,30
"italy","naples","2020-08-31",192478,"Pendino",40.84735,14.25829,"Entire apartment","Entire home/apt",4,2,2,20,5,69,0,20.0333333333333,601
"italy","naples","2020-08-31",194760,"San Giuseppe",40.84756,14.25102,"Entire apartment","Entire home/apt",6,2,4,61,1,365,29,59,59
"italy","naples","2020-08-31",198292,"Montecalvario",40.84711,14.24356,"Private room in apartment","Private room",2,1,1,42,1,365,30,NA,0
"italy","naples","2020-08-31",199327,"San Ferdinando",40.83566,14.2463,"Entire apartment","Entire home/apt",4,1,2,61,3,1125,30,NA,0
"italy","naples","2020-08-31",203130,"Vomero",40.84419,14.24058,"Entire apartment","Entire home/apt",4,1,3,130,3,365,30,NA,0
"italy","naples","2020-08-31",204618,"San Ferdinando",40.8369,14.24595,"Entire house","Entire home/apt",3,1,2,20,2,15,6,18.25,438
"italy","naples","2020-08-31",209277,"San Giuseppe",40.84587,14.25115,"Entire apartment","Entire home/apt",7,2,4,60,1,730,30,NA,0
"italy","naples","2020-08-31",209278,"San Giuseppe",40.84586,14.25112,"Entire apartment","Entire home/apt",5,1,3,50,1,730,27,50,150
"italy","naples","2020-08-31",210551,"San Ferdinando",40.83082,14.24928,"Entire condominium","Entire home/apt",5,1,5,83,1,365,28,82,164
