"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","rome","2020-09-13",2737,"VIII Appia Antica",41.87218,12.48355,"Private room","Private room",1,1,1,21,60,90,30,NA,0
"italy","rome","2020-09-13",2903,"I Centro Storico",41.88826,12.47002,"Private room in bed and breakfast","Private room",4,1,2,46,1,730,30,NA,0
"italy","rome","2020-09-13",3079,"I Centro Storico",41.89503,12.49163,"Entire apartment","Entire home/apt",4,1,4,105,2,120,30,NA,0
"italy","rome","2020-09-13",11834,"I Centro Storico",41.89574,12.49058,"Entire apartment","Entire home/apt",2,1,1,90,2,29,24,90,540
"italy","rome","2020-09-13",12398,"II Parioli/Nomentano",41.92584,12.46809,"Entire apartment","Entire home/apt",5,2,3,60,3,1125,0,60,1800
"italy","rome","2020-09-13",14181,"I Centro Storico",41.91485,12.45321,"Private room in apartment","Private room",1,1,1,28,7,120,28,27,54
"italy","rome","2020-09-13",15409,"XIII Aurelia",41.89538,12.45022,"Entire apartment","Entire home/apt",10,2,16,100,2,730,30,NA,0
"italy","rome","2020-09-13",16276,"I Centro Storico",41.88919,12.47107,"Private room in bed and breakfast","Private room",3,1,2,46,1,730,30,NA,0
"italy","rome","2020-09-13",19965,"I Centro Storico",41.90722,12.45199,"Entire apartment","Entire home/apt",6,2,4,91,3,365,15,100,1500
"italy","rome","2020-09-13",19967,"I Centro Storico",41.90729,12.45408,"Entire apartment","Entire home/apt",6,2,3,93,3,365,16,100,1400
"italy","rome","2020-09-13",20534,"I Centro Storico",41.88992,12.46823,"Entire apartment","Entire home/apt",3,1,2,124,3,365,30,NA,0
"italy","rome","2020-09-13",20587,"I Centro Storico",41.88992,12.46823,"Entire apartment","Entire home/apt",5,2,4,170,3,365,15,170,2550
"italy","rome","2020-09-13",20606,"XIII Aurelia",41.89689,12.45695,"Entire apartment","Entire home/apt",7,3,5,137,3,90,29,152,152
"italy","rome","2020-09-13",20699,"I Centro Storico",41.89291,12.50531,"Private room in guesthouse","Private room",2,1,0,48,1,365,23,50,350
"italy","rome","2020-09-13",21193,"I Centro Storico",41.91029,12.44703,"Private room in bed and breakfast","Private room",2,1,1,70,2,730,30,NA,0
"italy","rome","2020-09-13",21249,"VII San Giovanni/Cinecittà",41.86272,12.54795,"Private room in bed and breakfast","Private room",3,1,1,45,3,1125,29,45,45
"italy","rome","2020-09-13",22335,"I Centro Storico",41.90028,12.46706,"Entire apartment","Entire home/apt",6,1,2,70,1,29,0,69.1666666666667,2075
"italy","rome","2020-09-13",22573,"V Prenestino/Centocelle",41.89078,12.52634,"Entire loft","Entire home/apt",4,1,2,70,28,1125,0,70,2100
"italy","rome","2020-09-13",22930,"I Centro Storico",41.88992,12.46823,"Entire apartment","Entire home/apt",2,1,1,124,3,365,30,NA,0
"italy","rome","2020-09-13",22931,"I Centro Storico",41.89998,12.46668,"Entire apartment","Entire home/apt",5,2,4,180,3,365,0,180,5400
"italy","rome","2020-09-13",25875,"XIII Aurelia",41.89689,12.45695,"Entire apartment","Entire home/apt",7,2,4,645,4,90,0,526.666666666667,15800
"italy","rome","2020-09-13",26957,"I Centro Storico",41.88788,12.47151,"Private room in bed and breakfast","Private room",2,1,1,46,1,1125,30,NA,0
"italy","rome","2020-09-13",27732,"I Centro Storico",41.91498,12.45325,"Private room in apartment","Private room",2,1,2,85,2,60,30,NA,0
"italy","rome","2020-09-13",27816,"I Centro Storico",41.89603,12.47174,"Entire loft","Entire home/apt",2,1,1,68,2,120,30,NA,0
"italy","rome","2020-09-13",28929,"I Centro Storico",41.88331,12.46576,"Entire apartment","Entire home/apt",7,3,3,107,3,1125,30,NA,0
