"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","trentino","2015-10-12",4906642,"Trento, Trentino",46.060705083539,11.1179113345922,"Apartment","Entire home/apt",7,2,6,"$60.00",1,60,10,NA,0
"2","italy","trentino","2015-10-12",2885710,"Trento, Trentino",46.0776745079619,11.1172671444004,"Apartment","Entire home/apt",4,1,2,"$75.00",3,1125,0,NA,0
"3","italy","trentino","2015-10-12",5633570,"Trento, Trentino",46.0566509981315,11.1155303825662,"Apartment","Entire home/apt",2,0,1,"$35.00",1,1125,28,NA,0
"4","italy","trentino","2015-10-12",4568603,"Trento, Trentino",46.0595081821552,11.1146964267012,"Apartment","Entire home/apt",6,4,3,"$99.00",1,1125,30,NA,0
"5","italy","trentino","2015-10-12",4497368,"Trento, Trentino",46.0675754395763,11.1186447067447,"Apartment","Entire home/apt",4,1,2,"$70.00",2,14,8,NA,0
"6","italy","trentino","2015-10-12",5234474,"Trento, Trentino",46.0698522538169,11.1258338927556,"Apartment","Entire home/apt",2,0,2,"$45.00",2,1125,0,NA,0
"7","italy","trentino","2015-10-12",8822531,"Trento, Trentino",46.0487320904321,11.1444363153694,"Apartment","Entire home/apt",3,0,3,"$98.00",1,1125,30,NA,0
"8","italy","trentino","2015-10-12",8666291,"Trento, Trentino",46.0665852770477,11.1200722138365,"Bed & Breakfast","Private room",4,1,4,"$50.00",1,1125,29,NA,0
"9","italy","trentino","2015-10-12",7234528,"Trento, Trentino",46.0676385383438,11.1204471495313,"Bed & Breakfast","Private room",1,1,1,"$65.00",1,1125,29,NA,0
"10","italy","trentino","2015-10-12",6026573,"Trento, Trentino",46.0740609176795,11.1231630348152,"Bed & Breakfast","Private room",3,1,1,"$45.00",1,1125,30,NA,0
"11","italy","trentino","2015-10-12",6345874,"Trento, Trentino",46.0870347526896,11.062064496823,"Bed & Breakfast","Private room",7,1,7,"$50.00",1,1125,30,NA,0
"12","italy","trentino","2015-10-12",8515515,"Trento, Trentino",46.1247920869337,11.1149465478569,"Bed & Breakfast","Entire home/apt",5,2,5,"$150.00",2,1125,30,NA,0
"13","italy","trentino","2015-10-12",7122822,"Trento, Trentino",46.0896200836811,11.1390356674063,"Bed & Breakfast","Private room",3,1,3,"$90.00",1,1125,30,NA,0
"14","italy","trentino","2015-10-12",8768931,"Trento, Trentino",46.0764429800292,11.1193038126062,"Apartment","Private room",2,1,1,"$26.00",1,1125,17,NA,0
"15","italy","trentino","2015-10-12",1494413,"Trento, Trentino",46.0864301985331,11.1315435210916,"House","Private room",2,1,1,"$48.00",1,14,28,NA,0
"16","italy","trentino","2015-10-12",6148610,"Trento, Trentino",46.0679712467039,11.1333709644654,"Apartment","Entire home/apt",5,2,5,"$100.00",2,29,17,NA,0
"17","italy","trentino","2015-10-12",8096755,"Trento, Trentino",46.0878031438031,11.1164357686237,"Apartment","Entire home/apt",4,1,4,"$65.00",2,14,8,NA,0
"18","italy","trentino","2015-10-12",6220674,"Trento, Trentino",46.0690390950864,11.1203838727953,"Bed & Breakfast","Private room",2,1,1,"$100.00",1,1125,30,NA,0
"19","italy","trentino","2015-10-12",4098930,"Trento, Trentino",46.0759696371918,11.1296521726006,"Apartment","Private room",2,1,2,"$60.00",3,6,30,NA,0
"20","italy","trentino","2015-10-12",5292512,"Trento, Trentino",46.0392666826824,11.1304935636621,"Bed & Breakfast","Entire home/apt",6,3,3,"$65.00",1,1125,30,NA,0
"21","italy","trentino","2015-10-12",5968572,"Trento, Trentino",46.0614722598544,11.114340612611,"Apartment","Entire home/apt",6,2,3,"$135.00",1,1125,30,NA,0
"22","italy","trentino","2015-10-12",1911456,"Trento, Trentino",46.1219480865291,11.0960427268773,"Apartment","Entire home/apt",4,2,2,"$65.00",2,5,0,NA,0
"23","italy","trentino","2015-10-12",6220439,"Trento, Trentino",46.0691847176837,11.1212386349344,"Bed & Breakfast","Private room",3,1,3,"$135.00",1,1125,30,NA,0
"24","italy","trentino","2015-10-12",6089363,"Trento, Trentino",46.0109644610379,11.1393491573507,"Castle","Private room",4,1,4,"$80.00",1,1125,30,NA,0
"25","italy","trentino","2015-10-12",7974229,"Trento, Trentino",46.0661976273464,11.1226136030295,"Apartment","Entire home/apt",5,2,5,"$195.00",4,1125,30,NA,0
"26","italy","trentino","2015-10-12",8400199,"Trento, Trentino",46.0730378304539,11.1283862840651,"Apartment","Private room",2,1,1,"$40.00",1,7,30,NA,0
"27","italy","trentino","2015-10-12",5912579,"Trento, Trentino",46.0525728010988,11.1196674495595,"Apartment","Entire home/apt",3,2,2,"$40.00",1,1125,30,NA,0
"28","italy","trentino","2015-10-12",2132567,"Trento, Trentino",46.0703866615072,11.1197438865251,"Apartment","Private room",2,1,1,"$40.00",2,1125,30,NA,0
"29","italy","trentino","2015-10-12",8298000,"Trento, Trentino",46.072086759193,11.1183052712462,"Apartment","Entire home/apt",3,1,1,"$115.00",2,1125,0,NA,0
"30","italy","trentino","2015-10-12",4210132,"Trento, Trentino",46.0625966817332,11.1164900317357,"Bed & Breakfast","Entire home/apt",7,2,6,"$40.00",1,30,10,NA,0
"31","italy","trentino","2015-10-12",3677619,"Trento, Trentino",46.0679722249,11.1256168415237,"Loft","Entire home/apt",3,1,2,"$85.00",1,7,30,NA,0
"32","italy","trentino","2015-10-12",3473265,"Trento, Trentino",46.0685847661899,11.1223753233252,"Apartment","Private room",2,1,1,"$45.00",1,1125,28,NA,0
"33","italy","trentino","2015-10-12",6330177,"Trento, Trentino",46.0582869653484,11.1517916753183,"Apartment","Entire home/apt",2,1,2,"$50.00",1,3,0,NA,0
"34","italy","trentino","2015-10-12",4683553,"Trento, Trentino",46.0429464785129,11.1119902379246,"Bed & Breakfast","Private room",4,1,2,"$160.00",1,1125,30,NA,0
"35","italy","trentino","2015-10-12",7911177,"Trento, Trentino",46.0578587768809,11.1529366351176,"Bed & Breakfast","Private room",2,1,2,"$70.00",1,1125,30,NA,0
"36","italy","trentino","2015-10-12",8821867,"Trento, Trentino",46.0500341647862,11.144688767679,"Bed & Breakfast","Private room",2,1,2,"$88.00",1,1125,30,NA,0
"37","italy","trentino","2015-10-12",7896115,"Trento, Trentino",46.0691841100487,11.1273608009941,"Apartment","Private room",3,1,1,"$40.00",1,1125,24,NA,0
"38","italy","trentino","2015-10-12",8137900,"Trento, Trentino",46.083092457437,11.1167411547207,"Bed & Breakfast","Private room",2,1,2,"$70.00",1,1125,25,NA,0
"39","italy","trentino","2015-10-12",4959337,"Trento, Trentino",46.0737554697635,11.1071105027322,"Bed & Breakfast","Entire home/apt",5,2,5,"$40.00",2,1125,30,NA,0
"40","italy","trentino","2015-10-12",5987361,"Trento, Trentino",46.0112825064073,11.1395199606308,"Castle","Private room",2,1,1,"$40.00",1,1125,30,NA,0
"41","italy","trentino","2015-10-12",8534754,"Trento, Trentino",46.0545324194282,11.1201992768615,"Bed & Breakfast","Private room",1,1,1,"$20.00",1,1125,1,NA,0
"42","italy","trentino","2015-10-12",7560470,"Trento, Trentino",46.0766418845117,11.1190020709938,"Apartment","Private room",2,1,1,"$28.00",1,1125,20,NA,0
"43","italy","trentino","2015-10-12",7735905,"Trento, Trentino",46.0997065969087,11.1008867093738,"Apartment","Entire home/apt",3,2,3,"$60.00",1,1125,30,NA,0
"44","italy","trentino","2015-10-12",3178410,"Trento, Trentino",46.0619559816147,11.1185310531949,"Apartment","Private room",2,1,1,"$30.00",4,1125,9,NA,0
"45","italy","trentino","2015-10-12",5285241,"Trento, Trentino",46.0609641799547,11.1534000488856,"Bed & Breakfast","Entire home/apt",3,1,2,"$38.00",1,28,21,NA,0
"46","italy","trentino","2015-10-12",8135937,"Trento, Trentino",46.0822009336918,11.1155221978231,"Bed & Breakfast","Private room",3,1,3,"$70.00",1,1125,30,NA,0
"47","italy","trentino","2015-10-12",988704,"Trento, Trentino",46.0714801919853,11.1508952568616,"Bed & Breakfast","Private room",5,1,5,"$70.00",2,1125,0,NA,0
"48","italy","trentino","2015-10-12",7506803,"Trento, Trentino",46.0607094443375,11.1247488812013,"Apartment","Entire home/apt",4,1,2,"$55.00",1,1125,0,NA,0
"49","italy","trentino","2015-10-12",8586399,"Trento, Trentino",46.0868207817228,11.1607883586373,"Apartment","Entire home/apt",3,1,2,"$40.00",1,1125,8,NA,0
"50","italy","trentino","2015-10-12",7300180,"Trento, Trentino",46.0796110904639,11.1170358333087,"Apartment","Private room",2,1,2,"$35.00",1,5,28,NA,0
"51","italy","trentino","2015-10-12",6653008,"Trento, Trentino",46.0866731492004,11.1191150553115,"Condominium","Entire home/apt",2,1,1,"$44.00",1,1125,0,NA,0
"52","italy","trentino","2015-10-12",6874138,"Trento, Trentino",46.06776922983,11.1272326396428,"Apartment","Private room",3,1,2,"$50.00",1,1125,30,NA,0
"53","italy","trentino","2015-10-12",4580303,"Trento, Trentino",46.0592127216523,11.1143495402535,"Apartment","Entire home/apt",6,3,3,"$118.00",1,1125,30,NA,0
"54","italy","trentino","2015-10-12",8815551,"Trento, Trentino",46.0663576850996,11.1640493173767,"Bed & Breakfast","Entire home/apt",2,1,2,"$27.00",2,1125,6,NA,0
"55","italy","trentino","2015-10-12",5995234,"Trento, Trentino",46.1025274509822,11.1104304197894,"Apartment","Entire home/apt",2,1,2,"$65.00",1,1125,0,NA,0
"56","italy","trentino","2015-10-12",3348978,"Trento, Trentino",46.0761903041753,11.1228857568158,"Apartment","Entire home/apt",3,1,3,"$40.00",2,1125,0,NA,0
"57","italy","trentino","2015-10-12",4757982,"Trento, Trentino",46.0493129416399,11.1306408935703,"Apartment","Private room",2,1,1,"$35.00",1,5,30,NA,0
"58","italy","trentino","2015-10-12",8026380,"Trento, Trentino",46.067624436967,11.11968364497,"Bed & Breakfast","Private room",2,1,1,"$65.00",1,1125,25,NA,0
"59","italy","trentino","2015-10-12",6010421,"Trento, Trentino",46.0122443881429,11.1394998848741,"Apartment","Entire home/apt",10,2,4,"$160.00",1,1125,30,NA,0
"60","italy","trentino","2015-10-12",6498799,"Trento, Trentino",46.0725173621369,11.1249547537646,"Apartment","Private room",2,1,1,"$70.00",2,1125,0,NA,0
"61","italy","trentino","2015-10-12",7694796,"Trento, Trentino",46.077851793257,11.1167959142383,"Apartment","Private room",2,1,2,"$30.00",1,1125,21,NA,0
"62","italy","trentino","2015-10-12",8513994,"Trento, Trentino",46.1253936176694,11.1132523507084,"Bed & Breakfast","Private room",3,1,3,"$75.00",1,1125,30,NA,0
"63","italy","trentino","2015-10-12",5015994,"Trento, Trentino",46.0609340267086,11.1157425603264,"Apartment","Entire home/apt",6,2,2,"$78.00",1,1125,27,NA,0
"64","italy","trentino","2015-10-12",4771345,"Trento, Trentino",46.0889116161465,11.1323854340479,"Apartment","Private room",2,1,1,"$55.00",2,1125,30,NA,0
"65","italy","trentino","2015-10-12",4771070,"Trento, Trentino",46.1014539455803,11.1179152760365,"Apartment","Entire home/apt",2,1,1,"$50.00",1,4,29,NA,0
"66","italy","trentino","2015-10-12",5217962,"Trento, Trentino",46.0723822173299,11.1270073337931,"House","Private room",2,1,1,"$32.00",1,1125,13,NA,0
"67","italy","trentino","2015-10-12",8803253,"Trento, Trentino",46.0675869062119,11.128041785985,"Bed & Breakfast","Entire home/apt",4,2,2,"$260.00",1,1125,30,NA,0
"68","italy","trentino","2015-10-12",8075555,"Trento, Trentino",46.078074438434,11.1319112196952,"Bed & Breakfast","Entire home/apt",2,1,2,"$65.00",1,1125,20,NA,0
"69","italy","trentino","2015-10-12",7551190,"Trento, Trentino",46.0711868293115,11.1376243400284,"Apartment","Shared room",1,1,1,"$32.00",1,1125,30,NA,0
"70","italy","trentino","2015-10-12",7239886,"Trento, Trentino",46.0523217334444,11.1190626871791,"Apartment","Entire home/apt",2,0,1,"$60.00",3,30,29,NA,0
"71","italy","trentino","2015-10-12",6419487,"Trento, Trentino",46.0709146817233,11.1243187329246,"Bed & Breakfast","Entire home/apt",2,0,1,"$140.00",1,1125,30,NA,0
"72","italy","trentino","2015-10-12",528070,"Trento, Trentino",46.0513549256453,11.1209979144468,"Apartment","Entire home/apt",3,1,2,"$60.00",4,365,0,NA,0
"73","italy","trentino","2015-10-12",8026275,"Trento, Trentino",46.0723610631093,11.1821493540415,"Bed & Breakfast","Private room",1,1,1,"$40.00",1,1125,30,NA,0
"74","italy","trentino","2015-10-12",1439810,"Trento, Trentino",46.0738119513103,11.1302398266357,"Apartment","Private room",2,1,2,"$50.00",2,1125,0,NA,0
"75","italy","trentino","2015-10-12",8696699,"Trento, Trentino",46.0691188151274,11.1217592135006,"Bed & Breakfast","Private room",2,1,2,"$60.00",1,1125,29,NA,0
"76","italy","trentino","2015-10-12",488115,"Trento, Trentino",46.0483504550623,11.0671172407769,"Apartment","Entire home/apt",5,1,1,"$69.00",3,90,30,NA,0
"77","italy","trentino","2015-10-12",8344198,"Trento, Trentino",46.0509096771921,11.122505174294,"Apartment","Private room",2,1,1,"$31.00",1,2,14,NA,0
"78","italy","trentino","2015-10-12",4788796,"Trento, Trentino",46.0671231310676,11.1238899883888,"Apartment","Entire home/apt",2,1,1,"$85.00",2,1125,0,NA,0
"79","italy","trentino","2015-10-12",6525504,"Trento, Trentino",46.0059803664116,11.13407508717,"Apartment","Private room",1,1,1,"$73.00",1,1125,27,NA,0
"80","italy","trentino","2015-10-12",5198395,"Trento, Trentino",46.0673996699647,11.1195117838048,"Bed & Breakfast","Entire home/apt",4,2,2,"$65.00",1,1125,25,NA,0
"81","italy","trentino","2015-10-12",6997845,"Trento, Trentino",46.0749041115486,11.1050960879395,"Apartment","Entire home/apt",2,1,1,"$60.00",1,29,0,NA,0
"82","italy","trentino","2015-10-12",2535979,"Trento, Trentino",46.0693292814401,11.1204182105383,"Bed & Breakfast","Private room",4,1,4,"$60.00",1,1125,28,NA,0
"83","italy","trentino","2015-10-12",4975160,"Trento, Trentino",46.0771506048384,11.129545286622,"Apartment","Private room",2,1,2,"$80.00",1,1125,30,NA,0
"84","italy","trentino","2015-10-12",1252024,"Trento, Trentino",46.0746804800025,11.1295299174118,"Apartment","Private room",5,1,4,"$120.00",2,1125,28,NA,0
"85","italy","trentino","2015-10-12",7715476,"Trento, Trentino",46.0672981902741,11.1639414314115,"Apartment","Entire home/apt",3,1,3,"$27.00",1,1125,11,NA,0
"86","italy","trentino","2015-10-12",7895490,"Trento, Trentino",46.0715211229439,11.1049625044986,"Apartment","Entire home/apt",3,2,2,"$45.00",1,1125,17,NA,0
"87","italy","trentino","2015-10-12",1866624,"Trento, Trentino",46.0554756866323,11.1260235811678,"Apartment","Entire home/apt",2,1,2,"$55.00",3,7,23,NA,0
"88","italy","trentino","2015-10-12",4895370,"Trento, Trentino",46.0511058016459,11.1309429176929,"Apartment","Private room",2,1,1,"$27.00",1,1125,30,NA,0
"89","italy","trentino","2015-10-12",8112409,"Trento, Trentino",46.0599141790688,11.1243803363255,"Apartment","Private room",2,1,1,"$45.00",1,1125,16,NA,0
"90","italy","trentino","2015-10-12",700213,"Trento, Trentino",46.06475164261,11.1319618841741,"Bed & Breakfast","Entire home/apt",5,2,5,"$55.00",2,1125,30,NA,0
"91","italy","trentino","2015-10-12",4337325,"Trento, Trentino",46.0927450193396,11.122556827438,"Apartment","Entire home/apt",2,2,1,"$75.00",1,1125,30,NA,0
"92","italy","trentino","2015-10-12",3617614,"Trento, Trentino",46.0474176742721,11.1481285074398,"House","Private room",2,1,1,"$50.00",2,1125,30,NA,0
"93","italy","trentino","2015-10-12",7123773,"Trento, Trentino",46.0899087549909,11.1378696782207,"Bed & Breakfast","Private room",5,1,5,"$120.00",1,1125,30,NA,0
"94","italy","trentino","2015-10-12",5657354,"Trento, Trentino",46.065050103966,11.0791384603398,"Bed & Breakfast","Private room",4,1,4,"$100.00",1,1125,30,NA,0
"95","italy","trentino","2015-10-12",5236851,"Trento, Trentino",46.0392317640723,11.1055611869816,"Bed & Breakfast","Entire home/apt",6,3,6,"$110.00",1,1125,27,NA,0
"96","italy","trentino","2015-10-12",4602193,"Trento, Trentino",46.059836731107,11.1143684007568,"Apartment","Entire home/apt",6,2,3,"$129.00",1,1125,28,NA,0
"97","italy","trentino","2015-10-12",1235265,"Trento, Trentino",46.0670064015486,11.1258347566767,"Apartment","Entire home/apt",2,1,1,"$45.00",7,30,0,NA,0
"98","italy","trentino","2015-10-12",2543639,"Trento, Trentino",46.067347333317,11.1223722623541,"Apartment","Entire home/apt",4,2,3,"$70.00",2,1125,15,NA,0
"99","italy","trentino","2015-10-12",8483013,"Trento, Trentino",46.0763836286827,11.1176610051178,"Apartment","Shared room",1,1,1,"$23.00",1,3,30,NA,0
"100","italy","trentino","2015-10-12",3911023,"Trento, Trentino",46.0700933575197,11.1259188913938,"Apartment","Entire home/apt",4,2,4,"$60.00",1,1125,30,NA,0
"101","italy","trentino","2015-10-12",7442584,"Trento, Trentino",46.0781607678483,11.1237820811252,"Apartment","Entire home/apt",3,1,3,"$40.00",2,1125,0,NA,0
"102","italy","trentino","2015-10-12",6508756,"Trento, Trentino",46.0547164002261,11.1214558950221,"Apartment","Private room",2,1,1,"$24.00",1,1125,1,NA,0
"103","italy","trentino","2015-10-12",6757335,"Trento, Trentino",46.0020609479288,11.1300821739262,"Loft","Private room",2,1,1,"$59.00",2,14,0,NA,0
"104","italy","trentino","2015-10-12",6399713,"Trento, Trentino",46.0725043226155,11.121584871783,"Apartment","Entire home/apt",4,2,4,"$149.00",2,1125,29,NA,0
"105","italy","trentino","2015-10-12",8712634,"Trento, Trentino",46.0724457120399,11.1262290308962,"Apartment","Entire home/apt",4,2,4,"$150.00",1,1125,27,NA,0
"106","italy","trentino","2015-10-12",8049005,"Trento, Trentino",46.0674440318252,11.1229469331571,"Bed & Breakfast","Private room",2,1,1,"$60.00",1,1125,26,NA,0
"107","italy","trentino","2015-10-12",5198077,"Trento, Trentino",46.0725178966293,11.1264636502708,"House","Private room",2,1,2,"$70.00",1,1125,29,NA,0
"108","italy","trentino","2015-10-12",5875396,"Trento, Trentino",46.0580909372632,11.1340647678004,"Apartment","Entire home/apt",5,2,5,"$60.00",2,1125,24,NA,0
"109","italy","trentino","2015-10-12",3824737,"Trento, Trentino",46.0687042170311,11.1240519394934,"Apartment","Entire home/apt",4,2,4,"$90.00",1,1125,29,NA,0
"110","italy","trentino","2015-10-12",5633676,"Trento, Trentino",46.0673125971507,11.1232466050318,"Apartment","Entire home/apt",2,0,1,"$45.00",1,1125,20,NA,0
"111","italy","trentino","2015-10-12",8074468,"Trento, Trentino",46.0795221498927,11.1298173058235,"Bed & Breakfast","Entire home/apt",4,2,4,"$65.00",1,1125,20,NA,0
"112","italy","trentino","2015-10-12",6345895,"Trento, Trentino",46.0854621621115,11.0642238265535,"Bed & Breakfast","Entire home/apt",7,2,7,"$70.00",1,1125,28,NA,0
"113","italy","trentino","2015-10-12",4617363,"Trento, Trentino",46.0605774563362,11.1159569288459,"Apartment","Entire home/apt",6,2,2,"$89.00",1,1125,30,NA,0
"114","italy","trentino","2015-10-12",7935117,"Trento, Trentino",46.078023501751,11.1169061813685,"Apartment","Private room",2,1,2,"$25.00",1,1125,0,NA,0
"115","italy","trentino","2015-10-12",2225204,"Trento, Trentino",46.0683285164858,11.1199251466714,"Bed & Breakfast","Private room",8,1,8,"$90.00",1,1125,16,NA,0
"116","italy","trentino","2015-10-12",4526276,"Trento, Trentino",46.08843651663,11.1327154775587,"Bed & Breakfast","Entire home/apt",2,1,2,"$35.00",1,1125,30,NA,0
"117","italy","trentino","2015-10-12",3221508,"Trento, Trentino",46.0891142422813,11.06567060795,"Apartment","Entire home/apt",3,2,2,"$60.00",1,1125,30,NA,0
"118","italy","trentino","2015-10-12",7825347,"Trento, Trentino",46.0507267690569,11.1301923476714,"Apartment","Shared room",2,1,1,"$23.00",1,1125,30,NA,0
"119","italy","trentino","2015-10-12",5564063,"Trento, Trentino",46.0091847473828,11.1087381603362,"Apartment","Entire home/apt",2,2,2,"$67.00",1,1125,30,NA,0
"120","italy","trentino","2015-10-12",1140010,"Trento, Trentino",46.0963018360379,11.1025605064384,"Apartment","Entire home/apt",2,1,1,"$66.00",2,10,30,NA,0
"121","italy","trentino","2015-10-12",7693146,"Trento, Trentino",46.0625757431265,11.1246869473732,"Apartment","Shared room",2,1,1,"$25.00",1,3,19,NA,0
