"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","venice","2020-07-17",6623,"San Polo",45.43823,12.32902,"Entire apartment","Entire home/apt",4,NA,NA,225,7,1125,29,225,225
"italy","venice","2020-07-17",6624,"San Polo",45.43845,12.32869,"Apartment","Entire home/apt",6,NA,NA,250,7,1125,29,250,250
"italy","venice","2020-07-17",12074,"San Polo",45.43827,12.32764,"Apartment","Entire home/apt",4,NA,NA,123.150684931507,4,28,0,123.150684931507,3660
"italy","venice","2020-07-17",27116,"San Marco",45.43221,12.33411,"Bed and breakfast","Private room",4,NA,NA,179.780821917808,1,1125,25,179.780821917808,900
"italy","venice","2020-07-17",33934,"Cannaregio",45.4448,12.33121,"Apartment","Entire home/apt",4,NA,NA,103.896174863388,NA,NA,29,103.896174863388,109
"italy","venice","2020-07-17",44527,"Cannaregio",45.44754,12.32918,"Apartment","Entire home/apt",6,NA,NA,265.753424657534,2,1125,14,265.753424657534,4800
"italy","venice","2020-07-17",44998,"Castello",45.43854,12.34959,"Entire apartment","Entire home/apt",6,NA,NA,158.630136986301,2,999,29,158.630136986301,140
"italy","venice","2020-07-17",45036,"San Polo",45.43723,12.32451,"Apartment","Entire home/apt",2,NA,NA,87.0327868852459,NA,NA,16,87.0327868852459,1176
"italy","venice","2020-07-17",46054,"San Marco",45.43439,12.33509,"Apartment","Entire home/apt",6,NA,NA,280,2,999,29,280,280
"italy","venice","2020-07-17",46158,"San Marco",45.43468,12.33613,"Apartment","Entire home/apt",2,NA,NA,111.709589041096,2,999,28,111.709589041096,210
"italy","venice","2020-07-17",46171,"Cannaregio",45.44185,12.33355,"Apartment","Entire home/apt",2,NA,NA,108.164383561644,2,999,29,108.164383561644,150
"italy","venice","2020-07-17",47383,"San Polo",45.43846,12.33235,"Bed and breakfast","Hotel room",2,NA,NA,104.676712328767,2,1125,26,104.676712328767,348
"italy","venice","2020-07-17",47549,"Dorsoduro",45.43593,12.32521,"Apartment","Entire home/apt",5,NA,NA,136.208219178082,3,1125,0,136.208219178082,2850
"italy","venice","2020-07-17",49656,"Dorsoduro",45.43549,12.32612,"Apartment","Entire home/apt",3,NA,NA,107.219178082192,3,1125,14,107.219178082192,1710
"italy","venice","2020-07-17",51847,"Castello",45.43546,12.34636,"Entire apartment","Entire home/apt",3,NA,NA,126.575342465753,2,999,23,126.575342465753,560
"italy","venice","2020-07-17",56687,"Cannaregio",45.44525,12.33166,"Apartment","Entire home/apt",6,NA,NA,150,3,1125,29,150,150
"italy","venice","2020-07-17",60007,"San Marco",45.43302,12.332,"Apartment","Entire home/apt",4,NA,NA,150,1,1125,30,NA,0
"italy","venice","2020-07-17",60020,"Santa Croce",45.44059,12.32952,"Bed and breakfast","Hotel room",2,NA,NA,72.8054794520548,2,1125,15,72.8054794520548,520
"italy","venice","2020-07-17",60304,"Cannaregio",45.44334,12.33483,"Bed and breakfast","Private room",2,NA,NA,91.3934426229508,NA,NA,28,91.3934426229508,140
