"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","venice","2020-09-08",6623,"San Polo",45.43823,12.32902,"Entire apartment","Entire home/apt",4,2,4,"$225.00",7,365,29,225,225
"2","italy","venice","2020-09-08",6624,"San Polo",45.43845,12.32869,"Entire apartment","Entire home/apt",6,2,6,"$250.00",7,50,29,250,250
"3","italy","venice","2020-09-08",12074,"San Polo",45.43827,12.32764,"Entire apartment","Entire home/apt",4,2,4,"$122.00",4,28,0,122,3660
"4","italy","venice","2020-09-08",27116,"San Marco",45.43221,12.33411,"Private room in bed and breakfast","Private room",4,1,2,"$176.00",1,1125,20,177.4,1774
"5","italy","venice","2020-09-08",33934,"Cannaregio",45.4448,12.33121,"Entire apartment","Entire home/apt",4,1,1,"$110.00",2,30,29,110,110
"6","italy","venice","2020-09-08",44527,"Cannaregio",45.44754,12.32918,"Entire apartment","Entire home/apt",6,3,3,"$200.00",2,365,25,200,1000
"7","italy","venice","2020-09-08",44528,"Giudecca",45.42587,12.32556,"Entire apartment","Entire home/apt",7,3,7,"$95.00",180,365,21,95,855
"8","italy","venice","2020-09-08",44998,"Castello",45.43854,12.34959,"Entire apartment","Entire home/apt",6,2,4,"$140.00",5,10,29,140,140
"9","italy","venice","2020-09-08",45036,"San Polo",45.43723,12.32451,"Entire apartment","Entire home/apt",2,1,1,"$65.00",1,1,25,65,325
"10","italy","venice","2020-09-08",46054,"San Marco",45.43439,12.33509,"Entire apartment","Entire home/apt",6,2,2,"$180.00",1,1,26,180,720
"11","italy","venice","2020-09-08",46158,"San Marco",45.43468,12.33613,"Entire apartment","Entire home/apt",2,1,1,"$70.00",1,1,25,70,350
"12","italy","venice","2020-09-08",46171,"Cannaregio",45.44185,12.33355,"Entire apartment","Entire home/apt",2,1,1,"$110.00",3,10,21,110,990
"13","italy","venice","2020-09-08",47383,"San Polo",45.43846,12.33235,"Room in bed and breakfast","Hotel room",2,1,1,"$49.00",2,365,29,48,48
"14","italy","venice","2020-09-08",47549,"Dorsoduro",45.43593,12.32521,"Entire apartment","Entire home/apt",5,3,3,"$136.00",2,365,0,136,4080
"15","italy","venice","2020-09-08",49656,"Dorsoduro",45.43549,12.32612,"Entire apartment","Entire home/apt",3,2,2,"$98.00",3,31,26,110,440
"16","italy","venice","2020-09-08",51847,"Castello",45.43546,12.34636,"Entire apartment","Entire home/apt",3,1,2,"$80.00",1,1,24,80,480
"17","italy","venice","2020-09-08",56687,"Cannaregio",45.44525,12.33166,"Entire apartment","Entire home/apt",6,2,6,"$150.00",3,30,29,150,150
"18","italy","venice","2020-09-08",60007,"San Marco",45.43302,12.332,"Entire apartment","Entire home/apt",4,2,3,"$89.00",1,1125,23,89,623
"19","italy","venice","2020-09-08",60020,"Santa Croce",45.44059,12.32952,"Room in bed and breakfast","Hotel room",2,1,1,"$46.00",2,29,24,44.3333333333333,266
"20","italy","venice","2020-09-08",60304,"Cannaregio",45.44334,12.33483,"Private room in bed and breakfast","Private room",2,1,1,"$120.00",1,1000,29,120,120
"21","italy","venice","2020-09-08",61714,"Giudecca",45.42708,12.31823,"Private room in bed and breakfast","Private room",2,1,1,"$100.00",2,730,30,NA,0
"22","italy","venice","2020-09-08",63267,"Castello",45.43886,12.3499,"Entire apartment","Entire home/apt",2,1,1,"$90.00",3,20,19,90,990
"23","italy","venice","2020-09-08",65926,"Dorsoduro",45.43108,12.32593,"Entire apartment","Entire home/apt",5,3,4,"$149.00",2,300,30,NA,0
"24","italy","venice","2020-09-08",69375,"Cannaregio",45.44555,12.32155,"Entire apartment","Entire home/apt",4,1,4,"$140.00",3,45,27,140,420
"25","italy","venice","2020-09-08",69877,"Dorsoduro",45.4338,12.32574,"Private room in bed and breakfast","Private room",3,1,2,"$126.00",2,8,30,NA,0
"26","italy","venice","2020-09-08",71460,"San Lorenzo XXV Aprile",45.49249,12.24348,"Private room in bed and breakfast","Private room",2,1,1,"$49.00",2,4,8,49,1078
"27","italy","venice","2020-09-08",71735,"San Marco",45.43482,12.33648,"Entire apartment","Entire home/apt",4,1,2,"$100.00",3,29,6,101.666666666667,2440
"28","italy","venice","2020-09-08",71870,"Castello",45.42978,12.35715,"Entire house","Entire home/apt",4,2,2,"$77.00",3,365,29,77,77
"29","italy","venice","2020-09-08",71874,"Santa Croce",45.44001,12.32552,"Private room in bed and breakfast","Private room",3,1,1,"$120.00",1,28,30,NA,0
"30","italy","venice","2020-09-08",72000,"Castello",45.43006,12.35652,"Private room in house","Private room",1,1,1,"$60.00",2,5,27,60,180
"31","italy","venice","2020-09-08",72740,"Favaro",45.507,12.28175,"Entire apartment","Entire home/apt",2,1,1,"$63.00",2,31,23,64,448
"32","italy","venice","2020-09-08",74042,"Castello",45.43369,12.35051,"Entire apartment","Entire home/apt",4,1,1,"$126.00",3,1125,11,111.105263157895,2111
"33","italy","venice","2020-09-08",74272,"Castello",45.43476,12.34999,"Entire apartment","Entire home/apt",3,1,1,"$47.00",2,90,12,43.4444444444444,782
"34","italy","venice","2020-09-08",74873,"Cannaregio",45.44699,12.33227,"Entire apartment","Entire home/apt",7,2,2,"$247.00",3,30,29,241,241
"35","italy","venice","2020-09-08",75376,"San Marco",45.43517,12.33554,"Entire apartment","Entire home/apt",4,2,3,"$98.00",2,365,26,106.25,425
"36","italy","venice","2020-09-08",75760,"Castello",45.43079,12.35641,"Entire apartment","Entire home/apt",4,1,3,"$135.00",5,30,19,135,1485
"37","italy","venice","2020-09-08",75994,"San Marco",45.43746,12.337,"Entire apartment","Entire home/apt",4,2,2,"$103.00",2,365,27,120,360
"38","italy","venice","2020-09-08",77188,"Castello",45.43385,12.34786,"Entire apartment","Entire home/apt",4,1,2,"$55.00",2,90,8,51.3181818181818,1129
"39","italy","venice","2020-09-08",77598,"Dorsoduro",45.43103,12.31997,"Entire apartment","Entire home/apt",6,2,0,"$106.00",3,730,30,NA,0
"40","italy","venice","2020-09-08",78706,"Cannaregio",45.44648,12.33248,"Entire loft","Entire home/apt",5,1,4,"$193.00",3,30,27,196,588
"41","italy","venice","2020-09-08",78833,"Cannaregio",45.44648,12.33187,"Entire loft","Entire home/apt",4,1,4,"$170.00",3,30,30,NA,0
"42","italy","venice","2020-09-08",79038,"Favaro",45.50878,12.2815,"Private room in bed and breakfast","Private room",2,1,1,"$32.00",1,365,29,30,30
"43","italy","venice","2020-09-08",80403,"Dorsoduro",45.43286,12.32043,"Entire apartment","Entire home/apt",4,1,0,"$115.00",3,90,30,NA,0
"44","italy","venice","2020-09-08",83368,"San Polo",45.43678,12.32752,"Entire condominium","Entire home/apt",6,3,4,"$200.00",2,730,0,200,6000
"45","italy","venice","2020-09-08",83610,"Castello",45.43442,12.34854,"Entire apartment","Entire home/apt",6,2,4,"$120.00",3,365,27,120,360
"46","italy","venice","2020-09-08",90053,"Lido",45.40769,12.36549,"Entire apartment","Entire home/apt",5,1,3,"$130.00",6,300,26,130,520
"47","italy","venice","2020-09-08",92159,"Giudecca",45.42703,12.31827,"Private room in bed and breakfast","Private room",2,1,1,"$90.00",2,730,30,NA,0
"48","italy","venice","2020-09-08",95980,"San Marco",45.43316,12.3353,"Entire apartment","Entire home/apt",2,1,1,"$120.00",2,10,29,120,120
"49","italy","venice","2020-09-08",99238,"Cannaregio",45.44394,12.32904,"Entire apartment","Entire home/apt",2,1,1,"$120.00",3,25,7,120,2760
"50","italy","venice","2020-09-08",103249,"San Polo",45.43723,12.32718,"Entire condominium","Entire home/apt",4,2,3,"$130.00",2,730,30,NA,0
"51","italy","venice","2020-09-08",108271,"Marghera",45.4732,12.22502,"Private room in condominium","Private room",1,1,1,"$36.00",2,29,29,36,36
"52","italy","venice","2020-09-08",109278,"Tessera",45.5032,12.32058,"Private room in villa","Private room",15,4,4,"$260.00",1,365,17,260,3380
"53","italy","venice","2020-09-08",129278,"Lido",45.40562,12.36547,"Entire apartment","Entire home/apt",10,3,6,"$300.00",7,180,26,300,1200
